dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,h_max_iter,h_stop_condition,kappa,minimum_probability,num_topics,passes,w_max_iter,w_stop_condition,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,68.1326117515564,0.5613242992412628,0.5639660072924807,0.008567100593645155,4820,85,0.001621462067862438,0.6597236255198837,0.05366684736783671,50,107,167,0.000258599175944627,0.002202544554744122,0.638
dataset_name,RF,LCB,1,241.7324516773224,0.5687655856948621,0.5729876805413666,0.016857756367776592,1360,92,0.009169528088164087,0.8071647705303653,0.08182534973762229,50,443,109,0.00035215736837530164,0.013593670157715596,0.648
dataset_name,RF,LCB,2,126.29621076583862,0.5685850218176517,0.5700288754869446,0.012104582379767137,5273,80,0.009716335654208971,0.6627570227987455,0.05797714744644096,50,224,483,0.0008515426771950209,0.017962553339432835,0.644
dataset_name,RF,LCB,3,187.98797464370728,0.5720121325870754,0.5760104577556272,0.007742657765971045,5156,21,0.002346454071148054,0.885738137367893,0.08306547005797021,50,335,249,0.00031851495066278677,0.016581797813961765,0.654
dataset_name,RF,LCB,4,101.1430115699768,0.5650606205824684,0.5614668935044543,0.005412214025024055,9225,31,0.007001969630924772,0.8367199355096173,0.09200749448597417,50,178,486,0.0006890760829715061,-0.012000116162522714,0.638
dataset_name,RF,LCB,5,240.65539455413818,0.5828117076746843,0.584749495701669,0.002792431475096595,5629,54,0.007352892880876622,0.8157597011274815,0.05643485976274054,50,447,179,0.0008133842126763416,0.03802421304811738,0.674
dataset_name,RF,LCB,6,247.79870438575745,0.5610359138180041,0.5652770340095846,0.007978875990878093,8952,83,0.0013645951905033277,0.9825399684034128,0.03090739736438774,50,440,269,0.0008435729109445178,0.015676676451172364,0.63
dataset_name,RF,LCB,7,218.3636965751648,0.5704029670393782,0.5748892847379518,0.006923277191636386,4580,30,0.009529040540876374,0.6439764620304408,0.08639303212697812,50,397,221,0.0004875507465745343,0.008974618426489606,0.66
dataset_name,RF,LCB,8,285.0195143222809,0.5742710943109357,0.5792143709828091,0.00738832455172203,4412,61,0.008075286858282169,0.7686915529519748,0.012801663833521357,50,481,221,0.0006278810259029275,0.007216840885633714,0.67
dataset_name,RF,LCB,9,271.18940591812134,0.5747581957417344,0.5777541289704321,0.005366248322633887,4970,15,0.0075064365241952575,0.7427418268998622,0.09962750046180893,50,500,222,0.0009658295812090475,0.010853215852641566,0.666
