dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,48.16382932662964,0.41977306062370096,0.4238426416610151,0.008385093817626508,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,40,adam,-0.40306929546018794,0.6875
dataset_name,RF,LCB,1,12.72243881225586,0.40454288931916055,0.4056145146425973,0.0016106767689211918,tanh,0.7055276827236003,combined,prodLDA,184,4,200,14,40,adam,-0.4656193336458907,0.8525
dataset_name,RF,LCB,2,10.802071571350098,0.39845025508152476,0.4014152172944639,0.005293480996710657,sigmoid,0.851925889694314,zeroshot,prodLDA,281,1,200,32,40,adam,-0.4710473906681184,0.8375
dataset_name,RF,LCB,3,11.700398683547974,0.4025740733166923,0.40353006373119515,0.0015938237978527319,tanh,0.4748628384945795,zeroshot,LDA,196,4,50,38,40,adam,-0.47218811314174874,0.8475
dataset_name,RF,LCB,4,30.37056875228882,0.4328928653325217,0.4287088894741838,0.006338360863394727,selu,0.6077221243289302,combined,prodLDA,239,1,30,35,40,adam,-0.2641822846590237,0.5275
dataset_name,RF,LCB,5,21.480725526809692,0.5379590649780173,0.5387460988103594,0.008832299314182829,rrelu,0.3394964805353097,zeroshot,prodLDA,118,4,50,49,40,sgd,-0.17031914676169313,0.7675
dataset_name,RF,LCB,6,17.627777099609375,0.5421533399484738,0.5438219180210554,0.008358174780405661,rrelu,0.711358258327472,zeroshot,LDA,367,1,200,50,40,sgd,-0.17463503030779068,0.7725
dataset_name,RF,LCB,7,10.740908861160278,0.4026125246639949,0.4025041141130438,0.0019877613353355937,rrelu,0.13133058306546216,zeroshot,LDA,357,1,10,38,40,adam,-0.4736983916085359,0.8475
dataset_name,RF,LCB,8,12.678140640258789,0.3984377029826226,0.4022694175771368,0.008684322269911938,rrelu,0.7870395569649105,zeroshot,prodLDA,185,1,200,49,40,adam,-0.4809811414444763,0.8575
dataset_name,RF,LCB,9,18.13931131362915,0.5545478205429748,0.5487904546287803,0.011307171761832548,rrelu,0.7337000515335875,zeroshot,LDA,304,3,200,45,40,sgd,-0.16975834790374575,0.815
