dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,7.715596437454224,0.389515440725061,0.38574338683833115,0.006796812251334735,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,20,adam,-0.500579470120645,0.87
dataset_name,RF,LCB,1,8.698407888412476,0.4636464717122406,0.4621329025158382,0.004233684580616373,relu,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,20,adam,-0.3628147864528376,0.845
dataset_name,RF,LCB,2,11.317470788955688,0.5253696062830603,0.5279826815668308,0.006371853282200511,softplus,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,20,sgd,-0.2396516083199301,0.85
dataset_name,RF,LCB,3,24.543522596359253,0.5031911241485459,0.5047253831237247,0.02388131628551969,softplus,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,20,adam,-0.26166844090503344,0.785
dataset_name,RF,LCB,4,21.09335470199585,0.498317285078367,0.4927064632099252,0.013420977533378326,softplus,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,20,adam,-0.2783095228455291,0.725
dataset_name,RF,LCB,5,40.286394119262695,0.48091988529367,0.4773828229154719,0.00529988390223404,softplus,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,20,adam,-0.31240685420292935,0.76
dataset_name,RF,LCB,6,10.401328325271606,0.4749295298675447,0.4851715355257819,0.017359845807329008,relu,0.021057613777936246,0.00412913139681602,0.5115677725721385,137,3,686,18,20,sgd,-0.30715481622403795,0.755
dataset_name,RF,LCB,7,21.60706615447998,0.5954205836892112,0.5938758383647119,0.0037369426818585046,softplus,0.24505640106030924,0.004833583709445143,0.8835134367381354,397,1,900,32,20,adam,-0.12632820606013972,0.945
dataset_name,RF,LCB,8,21.07496929168701,0.5527221913589897,0.5569935057219918,0.010581191100872515,softplus,0.21975224461286982,0.004808357465490431,0.9839444475957753,280,1,805,37,20,sgd,-0.19630648668636852,0.895
dataset_name,RF,LCB,9,6.825035095214844,0.46646644746721755,0.4752573757228779,0.014502051685813111,relu,0.11582183735964303,0.0027611005439206132,0.9853678269843811,471,1,751,27,20,adam,-0.372775848222075,0.91
