dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,6.008431673049927,0.3848804815851358,0.3928417887321684,0.01228664868585357,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,10,adam,-0.5118995543600071,0.91
dataset_name,RF,LCB,1,9.660142660140991,0.5032042432061992,0.49448182158022286,0.02400059926748428,relu,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,10,adam,-0.24998005610880636,0.84
dataset_name,RF,LCB,2,8.140065670013428,0.4830837899413854,0.48183895651290526,0.015270757515847066,softplus,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,10,sgd,-0.34985540396034454,0.94
dataset_name,RF,LCB,3,18.733798265457153,0.4825658380069663,0.48900195135791386,0.015544986614559237,softplus,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,10,adam,-0.3406740667036594,0.87
dataset_name,RF,LCB,4,23.258169174194336,0.5340231837553396,0.5341854997768473,0.0031687542312577696,softplus,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,10,adam,-0.18912463161025678,0.8
dataset_name,RF,LCB,5,45.949055194854736,0.4886886366269107,0.49724886707754606,0.022776741165714993,softplus,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,10,adam,-0.300214231937744,0.82
dataset_name,RF,LCB,6,13.798170566558838,0.522610756347423,0.5358037690036732,0.025034338717786618,softplus,0.8905601836208983,0.007797775601282859,0.989715126119049,182,5,114,26,10,sgd,-0.2731689660136637,0.94
dataset_name,RF,LCB,7,17.498506546020508,0.6031719675843454,0.6027260958525357,0.013716450880355703,softplus,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,10,adam,-0.11628472722361982,0.99
dataset_name,RF,LCB,8,9.707667350769043,0.5590500718602981,0.5601807683555472,0.015324350636308381,softplus,0.8305749779712303,0.00839429512939574,0.9367977808229415,150,2,126,36,10,sgd,-0.2078785984140749,0.95
dataset_name,RF,LCB,9,4.40459942817688,0.5431399675905428,0.5390840029137047,0.009149159798541787,softplus,0.27151027282849255,0.00929951388163893,0.7955811304676792,155,1,53,8,10,adam,-0.2515505257489015,0.96
