dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,power_iters,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,329.00833797454834,0.3158221179940873,0.31966895485072216,0.009341651992967251,23008,0.9163160161574799,23,50,5,-0.23116412192444943,0.268
dataset_name,RF,LCB,1,333.3289942741394,0.30629037448327573,0.3095858583173505,0.004953709724837111,16295,0.647301666470228,174,50,10,-0.2347913217857492,0.256
dataset_name,RF,LCB,2,311.7642574310303,0.32225410761075574,0.31578700540278853,0.01010055704847317,34399,0.7790174018201665,147,50,6,-0.23352682629528224,0.278
dataset_name,RF,LCB,3,311.46687293052673,0.3128868932456396,0.3160098124308422,0.00488406957039882,30062,0.8727254167729189,51,50,2,-0.22976714399085882,0.268
dataset_name,RF,LCB,4,325.37058448791504,0.31145476932763766,0.31358958212354854,0.006661268042188224,5053,0.6709280058985376,53,50,7,-0.22594363380964894,0.262
dataset_name,RF,LCB,5,314.92920684814453,0.31901480050879644,0.3187109844420238,0.00046769977357019707,33448,0.5905996044139259,77,50,1,-0.2438763848275209,0.276
dataset_name,RF,LCB,6,303.0440661907196,0.3216056953475422,0.3196375850525341,0.0028632147074390624,37889,0.7487364103913802,33,50,1,-0.25587578115295767,0.276
dataset_name,RF,LCB,7,319.29277753829956,0.31597812914281165,0.32010481174263755,0.008608586977321886,42519,0.6018168331913291,89,50,1,-0.2218363629712907,0.266
dataset_name,RF,LCB,8,307.4715597629547,0.32497369783698965,0.32750739981491744,0.011942406201876954,35816,0.7209597505619305,169,50,1,-0.2400444912336425,0.286
dataset_name,RF,LCB,9,307.8434774875641,0.317511530040486,0.319382130987323,0.005478386050075811,43128,0.7014377325545484,123,50,5,-0.23487724953913447,0.272
