dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,11.888917922973633,0.062372503712343555,0.06237250371234356,6.938893903907228e-18,sigmoid,0.7910004306992118,128,200,30,adagrad,285,500,-0.031669976573656576,0.03333333333333333
dataset_name,RF,LCB,1,183.29347681999207,0.40485402774447576,0.404555672975633,0.004772610830855185,relu,0.7055276827236003,357,200,30,adadelta,245,775,-0.41378351850018114,0.68
dataset_name,RF,LCB,2,58.150843143463135,0.37544766901860177,0.37503437108147336,0.0018738538331796702,relu,0.3077499918792237,137,100,30,asgd,296,487,-0.5296005066302041,0.93
dataset_name,RF,LCB,3,1.364577293395996,0.0,0.0,0.0,softplus,0.7038436422927611,191,200,30,rmsprop,553,784,-1.0,0.0
dataset_name,RF,LCB,4,121.93022274971008,0.40001522127946065,0.40258724861758816,0.003648884597989017,softplus,0.9003794997111229,274,100,30,asgd,367,471,-0.4571148216501831,0.7666666666666667
dataset_name,RF,LCB,5,17.81673812866211,0.3706367450902482,0.37232882746135654,0.0031177138675584806,sigmoid,0.6877274763703004,252,200,30,asgd,215,981,-0.5374207927941071,0.9433333333333334
dataset_name,RF,LCB,6,5.75748348236084,0.09617754099302016,0.09617613327462031,1.3724174602499762e-05,relu,0.23515587104376073,322,300,30,rmsprop,224,549,-0.021945391340166175,0.05333333333333334
dataset_name,RF,LCB,7,16.116608381271362,0.36938200052630205,0.370217173306014,0.0016686991605186078,sigmoid,0.42404480777720166,479,200,30,asgd,210,1000,-0.5386722197864906,0.9266666666666666
dataset_name,RF,LCB,8,166.72806859016418,0.3957982259372397,0.3949677171614403,0.0031001316645554926,softplus,0.894811741242012,286,100,30,asgd,503,849,-0.470406865765913,0.7833333333333333
dataset_name,RF,LCB,9,82.31217980384827,0.3785102967751473,0.3772095901101215,0.003691017866174045,relu,0.7497200904885638,162,200,30,asgd,551,802,-0.51828083722656,0.8866666666666667
