dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,8.84952712059021,0.39112000458354973,0.3897487915530948,0.0047645485954542375,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,20,adam,-0.4954711981140581,0.87
dataset_name,RF,LCB,1,17.520005464553833,0.5145875259061632,0.5109669453490467,0.007215380128572633,softplus,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,20,sgd,-0.2620300417294001,0.83
dataset_name,RF,LCB,2,8.620006322860718,0.4428351031995872,0.44753063673948784,0.012860633305770319,relu,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,20,adam,-0.40240766739724004,0.88
dataset_name,RF,LCB,3,13.685696125030518,0.4873921805711856,0.4882834537133148,0.0063409372851811596,relu,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,20,sgd,-0.26507319255105527,0.7
dataset_name,RF,LCB,4,18.564048528671265,0.5383859316580174,0.5453707007797624,0.011096207076018301,relu,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,20,sgd,-0.17621581938113365,0.77
dataset_name,RF,LCB,5,17.947661876678467,0.5121747167119983,0.5309099258577078,0.02970876942061816,relu,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,20,sgd,-0.18625656761064063,0.89
dataset_name,RF,LCB,6,6.407888174057007,0.417967766976829,0.4186374051656066,0.008955889423109016,relu,0.8905601836208983,0.007797775601282859,0.989715126119049,182,5,114,26,20,adam,-0.4342384171262975,0.8
dataset_name,RF,LCB,7,18.281429767608643,0.5690253662691136,0.5662108992900338,0.0071370203312568934,relu,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,20,sgd,-0.12579309859926763,0.795
dataset_name,RF,LCB,8,234.68949127197266,0.4813938451810919,0.49109445677107816,0.017291586289046264,softplus,0.28983931466019064,0.00845952973975896,0.7537103549397888,79,3,240,38,20,adam,-0.26071783195855713,0.69
dataset_name,RF,LCB,9,307.02567410469055,0.5093739485260461,0.5135090707428537,0.008611388701335414,softplus,0.7721856298160176,0.009224238641322952,0.5077485719922694,120,8,629,20,20,sgd,-0.2631528852230777,0.825
