dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,10.359742403030396,0.3970685375040898,0.3974187587553543,0.008646100969801814,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,30,adam,-0.46417558089652095,0.7666666666666667
dataset_name,RF,LCB,1,11.938325643539429,0.45830693067331707,0.4604870999735506,0.006641213795960614,relu,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,30,adam,-0.3438531768270497,0.76
dataset_name,RF,LCB,2,11.151394844055176,0.42972398626804287,0.42341117363825315,0.011834965085341652,softplus,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,30,sgd,-0.4217866952736566,0.8333333333333334
dataset_name,RF,LCB,3,26.553239107131958,0.434764715535004,0.437940932624936,0.0052677715680166225,softplus,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,30,adam,-0.3680450631656791,0.7266666666666667
dataset_name,RF,LCB,4,18.56065082550049,0.4291850962008401,0.4315879624718563,0.004136311970364918,softplus,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,30,adam,-0.4153816623243565,0.8133333333333334
dataset_name,RF,LCB,5,33.19545793533325,0.41856418089167285,0.42233188026823204,0.010365984217526747,softplus,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,30,adam,-0.4501801834764762,0.8766666666666667
dataset_name,RF,LCB,6,18.421746730804443,0.4314241779098664,0.42934979293364856,0.003137833468164463,relu,0.14756507966321086,0.004482487822898561,0.8418022200886237,257,3,792,37,30,sgd,-0.41371651309383406,0.8166666666666667
dataset_name,RF,LCB,7,15.467923402786255,0.5265794829809661,0.5317308994534086,0.011457128385160909,softplus,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,30,adam,-0.26013793460759443,0.9133333333333333
dataset_name,RF,LCB,8,28.99083399772644,0.4369116575198234,0.44831566424953007,0.016655470033548933,relu,0.43268514156210874,0.007256868361304162,0.8592583296918468,72,9,603,47,30,adam,-0.3951121409174343,0.7866666666666666
dataset_name,RF,LCB,9,19.084139585494995,0.4353063228803121,0.43957546658711827,0.009201583380450313,relu,0.4633945054503911,0.00772104240882279,0.8617251334182328,95,2,593,48,30,sgd,-0.36690009440016325,0.72
