dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,power_iters,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,42.61222720146179,0.3429360040098374,0.34560229831669814,0.007625218717730327,23008,0.9163160161574799,23,30,5,-0.16097389021503053,0.29
dataset_name,RF,LCB,1,43.39823627471924,0.33213044755355314,0.33018145801179966,0.0029688163889475755,16295,0.647301666470228,174,30,10,-0.1517562244705066,0.2733333333333333
dataset_name,RF,LCB,2,43.5555624961853,0.3243088281915986,0.3330586443799688,0.012519629699597634,34399,0.7790174018201665,147,30,6,-0.1396797795698998,0.26
dataset_name,RF,LCB,3,42.899925231933594,0.3455178328077991,0.3517644291163892,0.014632450634964614,30062,0.8727254167729189,51,30,2,-0.14764310523836663,0.29
dataset_name,RF,LCB,4,43.0205283164978,0.32567258738507643,0.33182065836586766,0.009855945898702954,5053,0.6709280058985376,53,30,7,-0.13997590352992148,0.2633333333333333
dataset_name,RF,LCB,5,42.72119927406311,0.342494983858561,0.3426043159431327,0.006325889349421189,33448,0.5905996044139259,77,30,1,-0.16360886239275443,0.29
dataset_name,RF,LCB,6,42.552929162979126,0.34324484962705454,0.34592894404576885,0.007771916564640198,37889,0.7487364103913802,33,30,1,-0.1591227795040981,0.29
dataset_name,RF,LCB,7,42.60783767700195,0.35530276688023255,0.34278322910186976,0.0197106355908386,43789,0.9043841724006718,37,30,2,-0.14897916083958812,0.30333333333333334
dataset_name,RF,LCB,8,42.55197191238403,0.3376393144757793,0.3458160054372808,0.01446449689741945,31128,0.9258190896981857,27,30,2,-0.16460220563462943,0.2833333333333333
dataset_name,RF,LCB,9,42.67664051055908,0.33738343559391,0.3407060571155751,0.013591664189693245,33269,0.9762847367242986,39,30,4,-0.14853863684850957,0.27666666666666667
