dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,10.161585807800293,0.37585467729416594,0.37644016857447665,0.00392062478105537,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,40,adam,-0.5141369490848196,0.83
dataset_name,RF,LCB,1,10.715844869613647,0.4470135368632236,0.4481084125947156,0.0065717297551971315,relu,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,40,adam,-0.3826993342385604,0.805
dataset_name,RF,LCB,2,12.825432062149048,0.5157485546164793,0.5219270537118225,0.028146829669173645,softplus,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,40,sgd,-0.2073721716714116,0.7425
dataset_name,RF,LCB,3,18.98020315170288,0.4467652034619889,0.44772105413048063,0.017238557785561395,softplus,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,40,adam,-0.3297782677529298,0.6825
dataset_name,RF,LCB,4,30.794021129608154,0.4801861320011974,0.48673083885093327,0.01166008567117866,softplus,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,40,adam,-0.24361011743221272,0.6825
dataset_name,RF,LCB,5,41.71620416641235,0.4731858311070956,0.4746183679573967,0.009285611846002009,softplus,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,40,adam,-0.2887469671865977,0.7325
dataset_name,RF,LCB,6,12.83038330078125,0.48089968415918016,0.48916207928605937,0.011953909433380292,relu,0.021057613777936246,0.00412913139681602,0.5115677725721385,137,3,686,18,40,sgd,-0.25238239238538107,0.69
dataset_name,RF,LCB,7,20.963147401809692,0.6353663524612845,0.6401109448392601,0.011815765715830649,softplus,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,40,adam,-0.03766183477083266,0.935
dataset_name,RF,LCB,8,14.661205291748047,0.5423563727679259,0.5256015145609612,0.028875753730415284,softplus,0.10563209678164963,0.0077939372259724716,0.7942726091207646,122,2,952,13,40,sgd,-0.18843376982675114,0.8175
dataset_name,RF,LCB,9,30.305054426193237,0.46290524238269376,0.4653836640659683,0.011699626645835173,softplus,0.28935248622962545,0.009125803689996503,0.9511150930746404,54,3,630,26,40,adam,-0.2732323678955899,0.6375
