dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,12.666150569915771,0.04754500020377645,0.04754500020377645,0.0,sigmoid,0.7910004306992118,128,200,40,adagrad,285,500,-0.03166997657365658,0.025
dataset_name,RF,LCB,1,188.09902095794678,0.39060680856697766,0.3910546353927716,0.0008996829621644471,relu,0.7055276827236003,357,200,40,adadelta,245,775,-0.4828159644754281,0.795
dataset_name,RF,LCB,2,59.14967393875122,0.3738936418770458,0.37484385187565583,0.001561216729188885,relu,0.3077499918792237,137,100,40,asgd,296,487,-0.5297685158596819,0.9125
dataset_name,RF,LCB,3,1.3569579124450684,0.0,0.0,0.0,softplus,0.7038436422927611,191,200,40,rmsprop,553,784,-1.0,0.0
dataset_name,RF,LCB,4,128.34793996810913,0.3802680934474831,0.38131907994728875,0.005119253034105098,softplus,0.9003794997111229,274,100,40,asgd,367,471,-0.5101613019651606,0.8525
dataset_name,RF,LCB,5,61.71916651725769,0.36807636178164055,0.37221677707063633,0.006423371285362763,sigmoid,0.6877274763703004,252,200,40,asgd,215,981,-0.5386128024855275,0.91
dataset_name,RF,LCB,6,6.826471328735352,0.07819065597242714,0.07674848506761928,0.005292219961873818,relu,0.23515587104376073,322,300,40,rmsprop,224,549,-0.023958000837669448,0.0425
dataset_name,RF,LCB,7,14.704779863357544,0.3675842166270646,0.3677177243037432,0.0014806275184588897,sigmoid,0.42404480777720166,479,200,40,asgd,210,1000,-0.5367512078959733,0.89
dataset_name,RF,LCB,8,174.0596902370453,0.3787013089151733,0.3788806223317473,0.002625354903074672,softplus,0.894811741242012,286,100,40,asgd,503,849,-0.5102462225063922,0.87
dataset_name,RF,LCB,9,122.22341084480286,0.37908046649754173,0.3771309653119392,0.005052703662147616,softplus,0.6319402478525936,213,200,40,asgd,495,811,-0.514938318150542,0.88
