dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,h_max_iter,h_stop_condition,kappa,minimum_probability,num_topics,passes,w_max_iter,w_stop_condition,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,253.04510378837585,0.5554595445963267,0.5552762803397792,0.007212267129865923,4820,85,0.001621462067862438,0.6597236255198837,0.05366684736783671,10,107,167,0.000258599175944627,-0.06781037674097871,0.68
dataset_name,RF,LCB,1,1053.9797132015228,0.5493521996504973,0.5543034268004621,0.014243247164983566,1360,92,0.009169528088164087,0.8071647705303653,0.08182534973762229,10,443,109,0.00035215736837530164,-0.06633514266354282,0.69
dataset_name,RF,LCB,2,436.7178921699524,0.5844624447067583,0.5751168125774261,0.018000055339407628,5273,80,0.009716335654208971,0.6627570227987455,0.05797714744644096,10,224,483,0.0008515426771950209,-0.006703329819422699,0.71
dataset_name,RF,LCB,3,651.8671052455902,0.559144897077817,0.5657713796678785,0.01337722902645855,5156,21,0.002346454071148054,0.885738137367893,0.08306547005797021,10,335,249,0.00031851495066278677,-0.04046966040133258,0.7
dataset_name,RF,LCB,4,343.4727289676666,0.5703088141989614,0.5711487833288961,0.0037948008837356004,9225,31,0.007001969630924772,0.8367199355096173,0.09200749448597417,10,178,486,0.0006890760829715061,-0.037626849899020945,0.69
dataset_name,RF,LCB,5,901.835720539093,0.5580077345254559,0.5604085686533143,0.005806762826692023,5629,54,0.007352892880876622,0.8157597011274815,0.05643485976274054,10,447,179,0.0008133842126763416,-0.0721737316194586,0.69
dataset_name,RF,LCB,6,154.58873963356018,0.5782678650262547,0.578633898100887,0.006814385645486015,8517,38,0.00933761704566553,0.5100763110127147,0.06530178717462123,10,84,230,0.0005869803285776918,-0.03719616552134317,0.7
dataset_name,RF,LCB,7,419.4370632171631,0.578173791165581,0.5787194420641012,0.0029483350768808475,7825,37,0.007504907301015866,0.8498715429575868,0.04999879510369369,10,236,491,0.000854360024746863,-0.05115065126459275,0.75
dataset_name,RF,LCB,8,406.1605498790741,0.5667969320787514,0.5758879284531412,0.015363707055637428,7554,30,0.009360760603563865,0.533585082245825,0.055284523548229325,10,239,408,0.0006745615538523801,-0.006679629692935685,0.69
dataset_name,RF,LCB,9,337.1905770301819,0.5711157618446211,0.5725676615828298,0.005648961439594331,5097,92,0.009637309538690044,0.8846038820117543,0.06424418417166552,10,196,496,0.0009000230919377006,-0.03903223498307233,0.72
