dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,9.933608293533325,0.1657630984414039,0.1657630984414039,0.0,sigmoid,0.7910004306992118,128,200,10,adagrad,285,500,-0.031669976573656576,0.1
dataset_name,RF,LCB,1,176.52856469154358,0.32310871050484113,0.2973777033690667,0.04149931940810959,relu,0.7055276827236003,357,200,10,adadelta,245,775,-0.08670259732126641,0.25
dataset_name,RF,LCB,2,52.84533357620239,0.4199035935887196,0.418161897486015,0.006968145956860347,relu,0.3077499918792237,137,100,10,asgd,296,487,-0.4198204279778027,0.76
dataset_name,RF,LCB,3,1.3202335834503174,0.0,0.0,0.0,softplus,0.7038436422927611,191,200,10,rmsprop,553,784,-1.0,0.0
dataset_name,RF,LCB,4,119.52952671051025,0.2729589771164671,0.2712585023346125,0.00858955267976686,softplus,0.9003794997111229,274,100,10,asgd,367,471,-0.057440034625507785,0.19
dataset_name,RF,LCB,5,9.643324613571167,0.37338970504368285,0.3747069725182894,0.0022694630111394195,sigmoid,0.6877274763703004,252,200,10,asgd,215,981,-0.5387375058563025,0.98
dataset_name,RF,LCB,6,175.5780086517334,0.21734018930790416,0.21697315406776796,0.00985260488360893,softplus,0.15088457607405992,351,100,10,asgd,293,786,-0.03502450801734155,0.14
dataset_name,RF,LCB,7,184.4709391593933,0.17957876219446442,0.17950009145132884,0.0002082916999605078,sigmoid,0.13160599530226702,498,200,10,asgd,449,441,-0.022609652063357917,0.11
dataset_name,RF,LCB,8,104.39340567588806,0.389777925437556,0.37679640046288326,0.033772070680124874,relu,0.49904847007999625,235,100,10,asgd,218,684,-0.17642066056471883,0.37
dataset_name,RF,LCB,9,126.94601273536682,0.4326308222399472,0.43080558183170464,0.0037679648757398703,relu,0.819490298345925,227,100,10,adadelta,223,874,-0.30276982251997653,0.57
