dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,41.38121199607849,0.3720463340282316,0.3707348951734744,0.005316183286175012,23008,0.9163160161574799,23,30,-0.19002698810493032,0.3466666666666667
dataset_name,RF,LCB,1,41.53027057647705,0.3814606217426121,0.380888948691325,0.0008911101855331541,16295,0.647301666470228,174,30,-0.17109318772227156,0.35333333333333333
dataset_name,RF,LCB,2,41.508965492248535,0.3655969645187555,0.36663798821858107,0.004164692506680271,9581,0.9777513909955975,164,30,-0.1778288771368219,0.33
dataset_name,RF,LCB,3,41.29754042625427,0.36895707855606513,0.36962563858126507,0.0025715710341546213,840,0.6895533024969718,129,30,-0.1737874911416588,0.34
dataset_name,RF,LCB,4,41.33438754081726,0.35986871107149565,0.36368496034426206,0.007661353844960366,27801,0.8556546863507225,83,30,-0.18277640876525603,0.32
dataset_name,RF,LCB,5,41.34901976585388,0.3666187854364204,0.3707592836223497,0.006215095396263737,7655,0.9594720691623109,31,30,-0.18888569932749114,0.33666666666666667
dataset_name,RF,LCB,6,41.5279860496521,0.37740095977000854,0.37632253123933856,0.00398442505444569,8582,0.7153861531897843,125,30,-0.18108661559977704,0.35
dataset_name,RF,LCB,7,41.69444823265076,0.3602194538040361,0.3623884464974237,0.008392618162101503,14365,0.6169617268478086,144,30,-0.1709666843296197,0.31666666666666665
dataset_name,RF,LCB,8,41.58276677131653,0.3690120910325032,0.36733992711749813,0.0043423021184549266,20923,0.5462315023082369,118,30,-0.19002250197481715,0.33666666666666667
dataset_name,RF,LCB,9,41.62206268310547,0.369299249828681,0.36917384716963103,0.008607712367993195,34633,0.5136536742961522,126,30,-0.1720696823353582,0.3333333333333333
