dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,1337.7919504642487,0.39470545310252575,0.3931008222006495,0.003942979150871326,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,40,adam,-0.4483258125845607,0.665
dataset_name,RF,LCB,1,774.1074600219727,0.399559461247826,0.3973785911523828,0.007972833124707517,softplus,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,40,sgd,-0.37713465174007793,0.555
dataset_name,RF,LCB,2,1093.0504245758057,0.3935724480389556,0.3924205771397408,0.003606724790992042,relu,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,40,adam,-0.47531560049329674,0.775
dataset_name,RF,LCB,3,1429.3267097473145,0.40606110639601506,0.4049664949068872,0.006217162330617655,relu,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,40,sgd,-0.35633062053080516,0.545
dataset_name,RF,LCB,4,2093.064462661743,0.4139925179437912,0.4121025168692793,0.003008712673538464,relu,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,40,sgd,-0.4009428347997808,0.6625
dataset_name,RF,LCB,5,1522.9430012702942,0.4110307873433117,0.410763841345194,0.007220380628573313,relu,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,40,sgd,-0.4366238578750812,0.7575
dataset_name,RF,LCB,6,804.123547077179,0.41257371917623814,0.41125174734911935,0.008263456632628256,relu,0.8905601836208983,0.007797775601282859,0.989715126119049,182,5,114,26,40,adam,-0.353427210069604,0.57
dataset_name,RF,LCB,7,1578.8832416534424,0.4505044596100437,0.45057770221513405,0.0014667044902242263,relu,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,40,sgd,-0.3433450198419935,0.7175
dataset_name,RF,LCB,8,1340.4648897647858,0.40890720221717497,0.4057466995377523,0.004650494467474154,relu,0.31331052038512625,0.007981580120238996,0.8318999614793522,131,6,931,45,40,sgd,-0.41979238412863074,0.675
dataset_name,RF,LCB,9,3255.5309760570526,0.44487283752117374,0.43848942450782985,0.012062894214637897,relu,0.5340876346411939,0.009688100963715243,0.7851380204837103,90,7,901,46,40,adam,-0.36016455200068453,0.7175
