dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,54.54007530212402,0.33764975666461905,0.33647417119766043,0.006916084364317947,23008,0.9163160161574799,23,40,-0.2193455789601421,0.2975
dataset_name,RF,LCB,1,54.75564527511597,0.33753174275816883,0.33828192041907473,0.0032330713406847284,16295,0.647301666470228,174,40,-0.2284055687987224,0.3
dataset_name,RF,LCB,2,54.592710971832275,0.3404622021902051,0.3415502629891661,0.002169769154191581,9581,0.9777513909955975,164,40,-0.22431830319302398,0.305
dataset_name,RF,LCB,3,54.37101411819458,0.333822404849953,0.3341545999190931,0.0021542753366459565,840,0.6895533024969718,129,40,-0.23117703269049436,0.295
dataset_name,RF,LCB,4,54.61374068260193,0.3356935868628348,0.33271112120104024,0.010881974857331451,27801,0.8556546863507225,83,40,-0.22972331549034405,0.2975
dataset_name,RF,LCB,5,54.42539620399475,0.3401638863247411,0.34206559450591456,0.0070527824149982385,7655,0.9594720691623109,31,40,-0.22291885207612383,0.3025
dataset_name,RF,LCB,6,54.532249450683594,0.3346557416104576,0.3367117090407565,0.0035505118393014397,32650,0.8890705637201624,150,40,-0.22308383308242505,0.295
dataset_name,RF,LCB,7,54.46323347091675,0.3354548889741499,0.3366514686025271,0.011036898010302443,3383,0.9965503432768914,24,40,-0.23246810597462203,0.2975
dataset_name,RF,LCB,8,54.26746463775635,0.34302620687972374,0.341212188263706,0.006841765833849103,1688,0.9817930598682538,22,40,-0.22740595886716203,0.305
dataset_name,RF,LCB,9,54.35130190849304,0.33691318574366075,0.33489946102787305,0.009536890844077531,3051,0.9885509189135784,39,40,-0.22770532100250737,0.295
