dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,chunksize,decay,gamma_threshold,iterations,num_topics,offset,passes,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,54.009050607681274,0.5733629642638404,0.5787760162327608,0.017161278741844734,asymmetric,41715,0.5345256704368021,0.32012780378872757,488,10,2.203020112523004,84,-0.07186480441880369,0.82
dataset_name,RF,LCB,1,232.16552996635437,0.5524370592580722,0.557035942524481,0.006945018258075649,symmetric,1363,0.6346049595571991,0.45866122638233686,12,10,8.260694351430722,383,-0.12548754994757075,0.75
dataset_name,RF,LCB,2,157.16713976860046,0.5631414128336963,0.5633998750727227,0.0003761981767812658,symmetric,22107,0.5184473180271604,0.5952892196922652,470,10,3.999333450319846,264,-0.12498803323600927,0.79
dataset_name,RF,LCB,3,131.46466851234436,0.5554657567741597,0.5594031313088353,0.009989271498378976,symmetric,1547,0.6402367106598953,0.4521969528050088,462,10,5.173804171499826,214,-0.09404335756104484,0.76
dataset_name,RF,LCB,4,268.0103096961975,0.6232089605876733,0.6147701111632026,0.05369746076027022,asymmetric,7993,0.7238805943477356,0.18644728555992077,650,10,9.408265825527765,433,0.046849017983663595,0.77
dataset_name,RF,LCB,5,306.7849531173706,0.5720903677194997,0.5781837181122377,0.0112653157993502,asymmetric,15623,0.8754129909913106,0.05438493093852226,632,10,5.997962864246919,428,-0.10344520228236216,0.86
dataset_name,RF,LCB,6,4871.458548307419,0.16118553483806347,0.16118553483806347,0.0,symmetric,18463,0.9130709578120544,0.856126003412545,953,10,0.5621145424325354,75,-0.16945636547824858,0.1
dataset_name,RF,LCB,7,107.59778571128845,0.5705876132749738,0.5707520083441597,0.0028320400788674725,symmetric,35638,0.5385194258083525,0.9823445695843388,872,10,9.333595717289272,195,-0.13056299930291776,0.82
dataset_name,RF,LCB,8,121.48168849945068,0.557698874316117,0.5624601810226345,0.009049857022625679,asymmetric,17825,0.7868555017711548,0.7699940206594652,816,10,4.6978542746504255,208,-0.12549352612178258,0.79
dataset_name,RF,LCB,9,83.79760646820068,0.5477730778056917,0.5494221316774406,0.009954904768363653,symmetric,44580,0.8272741703922488,0.8331105864479743,837,10,9.961741187624748,148,-0.08280387480492565,0.71
