dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,494.78189611434937,0.3796335208716754,0.38104851977280535,0.004618384851090765,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,50,adam,-0.5022694872539107,0.806
dataset_name,RF,LCB,1,872.1060893535614,0.5371595504019862,0.5348122074273634,0.025508926675115947,softplus,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,50,sgd,-0.1762604033719557,0.772
dataset_name,RF,LCB,2,418.1856150627136,0.42867449499548255,0.4252647576405883,0.0058098044926493545,relu,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,50,adam,-0.41336298989666004,0.796
dataset_name,RF,LCB,3,775.5318567752838,0.5128089447671813,0.5149424221822639,0.024674939034258665,relu,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,50,sgd,-0.21416836424690092,0.738
dataset_name,RF,LCB,4,309.6591422557831,0.521264108609121,0.5234471330890246,0.012961429224328223,relu,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,50,sgd,-0.14366195121187617,0.67
dataset_name,RF,LCB,5,509.35219717025757,0.5239928919521718,0.5220741471671403,0.008843038400774274,relu,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,50,sgd,-0.1686337166166368,0.674
dataset_name,RF,LCB,6,256.60070300102234,0.4286334981047913,0.4301013872765778,0.005312985146975132,relu,0.8905601836208983,0.007797775601282859,0.989715126119049,182,5,114,26,50,adam,-0.4011493649218516,0.754
dataset_name,RF,LCB,7,471.9422106742859,0.5225745227631654,0.5139036098131761,0.015352799507198363,softplus,0.5420539202046698,0.006008255787558045,0.7397969909255033,126,6,664,44,50,sgd,-0.19599832850615237,0.746
dataset_name,RF,LCB,8,791.018296957016,0.4606397735542846,0.46803600595569406,0.025579855766111118,softplus,0.47603003309936176,0.00947112960388483,0.6345626613999087,108,9,466,38,50,adam,-0.2816492098520175,0.642
dataset_name,RF,LCB,9,109.20004725456238,0.5463790935529971,0.5429631278144643,0.005709851738103843,softplus,0.8748876255851853,0.005325983973691482,0.6787537561088033,266,4,331,27,50,sgd,-0.17659388137185755,0.812
