dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,773.7345879077911,0.41893005205497197,0.42036534385787944,0.0035132007433516022,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,30,adam,-0.41972354647500565,0.7533333333333333
dataset_name,RF,LCB,1,546.5713109970093,0.4297435394641591,0.42621854552053745,0.01475468067133153,sigmoid,0.7055276827236003,zeroshot,prodLDA,184,4,200,14,30,adam,-0.41154115494942284,0.7966666666666666
dataset_name,RF,LCB,2,835.6080112457275,0.4165922909461653,0.4211201610790766,0.00871836841133476,selu,0.851925889694314,combined,prodLDA,281,1,200,32,30,adam,-0.3954634941916903,0.7166666666666667
dataset_name,RF,LCB,3,425.35792303085327,0.406264941534385,0.4092074322066799,0.008672997607247846,sigmoid,0.4748628384945795,combined,LDA,196,4,50,38,30,adam,-0.46936226521703406,0.8666666666666667
dataset_name,RF,LCB,4,265.1140217781067,0.4339969171692471,0.4231007553232802,0.015533339760126868,elu,0.6077221243289302,zeroshot,prodLDA,239,1,30,35,30,adam,-0.4016463486000238,0.79
dataset_name,RF,LCB,5,794.5238373279572,0.5527966874662266,0.5547352791073061,0.004121326545449489,relu,0.3394964805353097,combined,prodLDA,118,4,50,49,30,sgd,-0.15034337419763524,0.79
dataset_name,RF,LCB,6,575.03941822052,0.5792165172115343,0.5758045949743061,0.012693358353226462,relu,0.711358258327472,combined,LDA,367,1,200,50,30,sgd,-0.10451557397001625,0.84
dataset_name,RF,LCB,7,665.5548820495605,0.5558215712835866,0.5456341328302012,0.017865175263144743,sigmoid,0.45805835650185206,combined,prodLDA,216,1,300,48,30,sgd,-0.16936652055971643,0.8266666666666667
dataset_name,RF,LCB,8,422.04979491233826,0.5175626894569207,0.523362048814116,0.013400499820810893,selu,0.3926353991891624,zeroshot,prodLDA,120,1,300,50,30,sgd,-0.22871635412933217,0.7866666666666666
dataset_name,RF,LCB,9,348.3934381008148,0.5454104309714238,0.5428272836382723,0.009193476133181125,elu,0.49227796963700915,zeroshot,prodLDA,491,1,30,49,30,sgd,-0.17660531985732134,0.8033333333333333
