dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,15.255195617675781,0.16765420471162687,0.16765420471162687,0.0,sigmoid,0.7910004306992118,128,200,10,adagrad,285,500,0.03663677592055335,0.1
dataset_name,RF,LCB,1,4.8963892459869385,0.1946611678782437,0.19884166035283077,0.005989490802055943,relu,0.7055276827236003,357,200,10,rmsprop,245,775,0.02738162013347841,0.12
dataset_name,RF,LCB,2,71.79636693000793,0.42457280330854186,0.4241963007150826,0.014654078741368096,relu,0.3077499918792237,137,100,10,asgd,296,487,-0.3304118509495737,0.63
dataset_name,RF,LCB,3,20.79442596435547,0.16765420471162687,0.16765420471162687,0.0,softplus,0.7038436422927611,191,200,10,adam,553,784,0.03663677592055335,0.1
dataset_name,RF,LCB,4,1680.8867671489716,0.20686666680477755,0.21494865857905474,0.020991372017761575,softplus,0.9003794997111229,274,100,10,asgd,367,471,0.019062502819336403,0.13
dataset_name,RF,LCB,5,2976.6953287124634,0.21956756641579148,0.21512125867123752,0.015667675221690464,sigmoid,0.6877274763703004,252,200,10,asgd,215,981,0.017316612126084187,0.14
dataset_name,RF,LCB,6,4049.076158285141,0.19434064149881497,0.1900873112854213,0.0061203726976204855,softplus,0.15088457607405992,351,100,10,asgd,293,786,0.025630061949343474,0.12
dataset_name,RF,LCB,7,3524.047017097473,0.16765420471162687,0.16765420471162687,0.0,sigmoid,0.2882366715036105,359,100,10,asgd,543,573,0.03663677592055335,0.1
dataset_name,RF,LCB,8,1385.877678155899,0.4210081990390323,0.41992371803625267,0.0028507826063845754,relu,0.1299879406423495,138,100,10,asgd,274,495,-0.32541528773948125,0.56
dataset_name,RF,LCB,9,1185.0745956897736,0.40333052733553665,0.402329497493407,0.004792093393910926,relu,0.29211114715451064,163,100,10,sgd,251,442,-0.2548833607695649,0.45
