dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),kappa,tau,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,18.034619331359863,0.35161184338987145,0.352809830525088,0.001843937181416796,0.7273505261106861,107.91584387779517,-0.533388543813459,0.7206666666666667
dataset_name,RF,LCB,1,18.01510238647461,0.3509779295931247,0.3512090906369716,0.001721230104211097,0.8982714934301166,97.11928623877057,-0.5343621481571017,0.71
dataset_name,RF,LCB,2,18.319451570510864,0.35738104607799687,0.3564507849184008,0.003186736181797251,0.8724556274135113,20.29446154173533,-0.5207420195910379,0.708
dataset_name,RF,LCB,3,18.40243101119995,0.36170043902225024,0.362192657438847,0.0014322370808745137,0.521149583514101,72.42907407389616,-0.5049123025569195,0.682
dataset_name,RF,LCB,4,18.026302337646484,0.35645678768654965,0.3564821178319697,0.0009066530897660733,0.7745110797923128,35.53463491365726,-0.5261339703949072,0.7193333333333334
dataset_name,RF,LCB,5,18.029202461242676,0.3540926340282416,0.3540207941340592,0.0004671122146937797,0.9702565489160634,35.62908450410285,-0.5300179678434429,0.7186666666666667
dataset_name,RF,LCB,6,17.88228940963745,0.3555659125702543,0.3554830098606119,0.0009365718659822998,0.7624393193089849,31.954515843835278,-0.5226307205409743,0.694
dataset_name,RF,LCB,7,18.267457008361816,0.3552845422855256,0.35499383364240145,0.0006162836732328698,0.7133475652962229,103.4212366517615,-0.5286319732090852,0.7206666666666667
dataset_name,RF,LCB,8,18.148624658584595,0.35261204575630095,0.3528047483962264,0.000853017969944989,0.7153936957828098,63.01255437919055,-0.5290947856139019,0.708
dataset_name,RF,LCB,9,18.039973974227905,0.3599196092611505,0.3611950664821523,0.0020128146289694862,0.5277872260786934,79.09118871509565,-0.5112581713078707,0.686
