dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,47.34518814086914,0.4091146549488147,0.4102557494957473,0.0025578376169635483,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,50,adam,-0.42596543393999836,0.712
dataset_name,RF,LCB,1,13.490205764770508,0.40007855558191086,0.40065041291527387,0.002395515642169231,tanh,0.7055276827236003,combined,prodLDA,184,4,200,14,50,adam,-0.4682823065681022,0.81
dataset_name,RF,LCB,2,11.87329626083374,0.39669822051625464,0.3975365458137901,0.004026217255499634,sigmoid,0.851925889694314,zeroshot,prodLDA,281,1,200,32,50,adam,-0.4742365383689547,0.824
dataset_name,RF,LCB,3,12.710329294204712,0.3988768509137534,0.39740718318112894,0.0040102363101747005,tanh,0.4748628384945795,zeroshot,LDA,196,4,50,38,50,adam,-0.4737516066476497,0.842
dataset_name,RF,LCB,4,25.530319452285767,0.4207435052174717,0.4202406779411545,0.0008275138704553104,selu,0.6077221243289302,combined,prodLDA,239,1,30,35,50,adam,-0.36995676666678007,0.634
dataset_name,RF,LCB,5,22.0289089679718,0.5348247224076211,0.5411727888590964,0.011627581639200473,rrelu,0.3394964805353097,zeroshot,prodLDA,118,4,50,49,50,sgd,-0.17011628534624762,0.754
dataset_name,RF,LCB,6,30.102019548416138,0.5219337461146151,0.520163836881382,0.01017183266450941,leakyrelu,0.13837713792917153,combined,prodLDA,359,1,300,48,50,sgd,-0.17607642313859803,0.71
dataset_name,RF,LCB,7,31.716305017471313,0.41588942997070444,0.41585937264494044,0.006442703286570064,elu,0.2176093801649332,combined,LDA,345,1,100,41,50,adam,-0.299292936086356,0.536
dataset_name,RF,LCB,8,13.42981743812561,0.4025709295722964,0.4027474104270096,0.0048925651710120645,tanh,0.2487740243018768,zeroshot,prodLDA,103,1,50,49,50,adam,-0.4660365508071746,0.818
dataset_name,RF,LCB,9,25.45600175857544,0.5492027555643253,0.546691550740488,0.02163868847686701,selu,0.1452782286881341,combined,prodLDA,475,2,50,45,50,sgd,-0.119632796407143,0.73
