dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,14.829354047775269,0.47884684566022717,0.48173202851400054,0.016373606627618303,23008,0.9163160161574799,23,10,-0.05825782039587505,0.5
dataset_name,RF,LCB,1,15.034686803817749,0.48763636097235885,0.483435502696151,0.008694676593624025,16295,0.647301666470228,174,10,-0.05199388886124986,0.5
dataset_name,RF,LCB,2,15.086005926132202,0.4758211801638392,0.47388379013362875,0.011335207472506567,9581,0.9777513909955975,164,10,-0.056571014172292135,0.48
dataset_name,RF,LCB,3,14.982312202453613,0.4810249648776154,0.48080489173165303,0.0017513259087501346,840,0.6895533024969718,129,10,-0.06639497554224863,0.5
dataset_name,RF,LCB,4,14.739376068115234,0.47882303926104053,0.48045209066216166,0.014762259918351728,27801,0.8556546863507225,83,10,-0.06694100455606813,0.48
dataset_name,RF,LCB,5,14.663276433944702,0.47392292283679266,0.47499985330227873,0.0018509279346629673,7655,0.9594720691623109,31,10,-0.04953445461600484,0.48
dataset_name,RF,LCB,6,14.76481294631958,0.46875380326047467,0.47223888538083275,0.005001692235070733,32012,0.7177983384139199,73,10,-0.06538152425514676,0.48
dataset_name,RF,LCB,7,15.195221662521362,0.4922934169793642,0.48948085717510875,0.011412515674367758,14365,0.6169617268478086,144,10,-0.06522001098670617,0.52
dataset_name,RF,LCB,8,15.378800392150879,0.46623404338165925,0.46917411051115115,0.011481563175735196,17129,0.6858036084219006,179,10,-0.06023477789456997,0.45
dataset_name,RF,LCB,9,15.329193353652954,0.48591783297152924,0.47794342986194116,0.014662361219901169,15431,0.5429948011437836,149,10,-0.06998936892332677,0.49
