dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,power_iters,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,24.723507165908813,0.47302892192864404,0.47558870879952647,0.004813416936736445,23008,0.9163160161574799,23,10,5,-0.0029160015736902647,0.45
dataset_name,RF,LCB,1,90.65498924255371,0.43204273894227446,0.4341552463158691,0.01089821508049731,16295,0.647301666470228,174,10,10,0.0012050976920846904,0.38
dataset_name,RF,LCB,2,39.44955611228943,0.4527278875031689,0.46173272816150684,0.015081522796784392,34399,0.7790174018201665,147,10,6,-0.006608801296770393,0.42
dataset_name,RF,LCB,3,25.381033182144165,0.46534430649504077,0.4661672868050953,0.00879678951313482,30062,0.8727254167729189,51,10,2,-0.00797052624169932,0.43
dataset_name,RF,LCB,4,25.450757265090942,0.4739563289889983,0.4665637477699289,0.018757930069613144,5053,0.6709280058985376,53,10,7,-0.018243647865210738,0.45
dataset_name,RF,LCB,5,29.892776250839233,0.484108810708135,0.4733209937146787,0.016902819508635376,33448,0.5905996044139259,77,10,1,-0.001818212866770988,0.47
dataset_name,RF,LCB,6,29.471643686294556,0.45759477127323506,0.47708570969169956,0.02900504390280782,37889,0.7487364103913802,33,10,1,-0.004536608257560371,0.43
dataset_name,RF,LCB,7,34.47037720680237,0.45046677083058345,0.4555988207196559,0.011421866774419986,42519,0.6018168331913291,89,10,1,-0.000407208544347526,0.41
dataset_name,RF,LCB,8,34.45411515235901,0.44592243614277205,0.4460323893662303,0.008379974582293476,14159,0.602297009926984,71,10,4,-0.022511818493795088,0.41
dataset_name,RF,LCB,9,33.17227482795715,0.458463195484679,0.4618516003452593,0.0134106986736106,27599,0.5485810136168434,33,10,3,-0.015454600222435843,0.43
