dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,67.45603108406067,0.32785266983450956,0.32530430718161757,0.004323092100613316,23008,0.9163160161574799,23,50,-0.26638518341104844,0.296
dataset_name,RF,LCB,1,67.85809803009033,0.3086045230242581,0.31195610897178594,0.004933139687956675,16295,0.647301666470228,174,50,-0.2573083529209466,0.264
dataset_name,RF,LCB,2,67.98491263389587,0.31665035607475195,0.3164221583658497,0.0036550270981291345,9581,0.9777513909955975,164,50,-0.25731352876497116,0.276
dataset_name,RF,LCB,3,68.08771085739136,0.31020683146173356,0.3102478496424718,0.0036113793610538588,840,0.6895533024969718,129,50,-0.2573602769242442,0.266
dataset_name,RF,LCB,4,68.06238293647766,0.31138121410275077,0.3131342736749999,0.004462304229021866,27801,0.8556546863507225,83,50,-0.2645142657215532,0.27
dataset_name,RF,LCB,5,67.68961834907532,0.3163292354329302,0.3141841988015586,0.004394857690823274,7655,0.9594720691623109,31,50,-0.2681624766204508,0.278
dataset_name,RF,LCB,6,67.8704023361206,0.31209475261221103,0.3187997726042641,0.010159613628930437,32650,0.8890705637201624,150,50,-0.25703405759434245,0.268
dataset_name,RF,LCB,7,67.96472835540771,0.31101433661227335,0.3128621788169174,0.0030512991678219594,42785,0.9405607495483401,174,50,-0.25904752367758,0.268
dataset_name,RF,LCB,8,67.69895029067993,0.33144342621711465,0.32954002980723346,0.01023688151964587,1688,0.9817930598682538,22,50,-0.2595003245348145,0.3
dataset_name,RF,LCB,9,67.7423038482666,0.31844144191155893,0.3186733663465086,0.004231805701946871,3051,0.9885509189135784,39,50,-0.2594979117528022,0.28
