dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,6.538565635681152,0.38788569699114284,0.3905859740386621,0.0043642357828031185,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,10,adam,-0.5099107488264212,0.93
dataset_name,RF,LCB,1,17.021079063415527,0.4700787572799488,0.47507302957196895,0.01713932603498586,relu,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,10,adam,-0.35591514642658695,0.87
dataset_name,RF,LCB,2,14.676050186157227,0.47008825716998914,0.46502094524720405,0.015034221318844474,softplus,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,10,sgd,-0.38159223961610095,0.98
dataset_name,RF,LCB,3,21.783398628234863,0.4590464349629781,0.45546767285860845,0.007957366766742711,softplus,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,10,adam,-0.37114573709792154,0.86
dataset_name,RF,LCB,4,19.382503509521484,0.4787315261296791,0.4784482913658615,0.001979259830171896,softplus,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,10,adam,-0.36092287441550625,0.95
dataset_name,RF,LCB,5,46.382065296173096,0.44892438074818797,0.4525827104009434,0.008860809456184632,softplus,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,10,adam,-0.42114443012812697,1.0
dataset_name,RF,LCB,6,18.6414897441864,0.48951386459106955,0.49015298608187313,0.007993672051358779,relu,0.14756507966321086,0.004482487822898561,0.8418022200886237,257,3,792,37,10,sgd,-0.3497172305971186,0.96
dataset_name,RF,LCB,7,12.11017107963562,0.47064032268540335,0.47144779037087475,0.0025201473639925565,relu,0.5237571651976065,0.008114391099713042,0.9203487116914648,198,2,148,23,10,sgd,-0.36090725804773693,0.88
dataset_name,RF,LCB,8,15.532150745391846,0.46360210789022743,0.4622264727596965,0.0021407660517119413,relu,0.34026749536170653,0.006173512905392842,0.8406030847615951,337,6,301,31,10,sgd,-0.38199970558793345,0.92
dataset_name,RF,LCB,9,20.97898244857788,0.46346443790829944,0.46338679077342637,0.001423979734111695,softplus,0.23388857226904342,0.0033280470685811666,0.7682757209480939,487,2,843,16,10,adam,-0.39021201734004646,0.96
