dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,901.4115519523621,0.4142225676602107,0.4150819004379849,0.003115279909391094,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,50,adam,-0.4193908018375687,0.708
dataset_name,RF,LCB,1,500.71135354042053,0.4085565834291288,0.4084010127408428,0.004023475878258764,sigmoid,0.7055276827236003,zeroshot,prodLDA,184,4,200,14,50,adam,-0.45274268534837175,0.806
dataset_name,RF,LCB,2,911.16685795784,0.41763300295637573,0.4199879535853328,0.008166634084579273,selu,0.851925889694314,combined,prodLDA,281,1,200,32,50,adam,-0.4090531605697128,0.712
dataset_name,RF,LCB,3,451.84638118743896,0.40865405083689943,0.4094628950445465,0.0019140234473655638,sigmoid,0.4748628384945795,combined,LDA,196,4,50,38,50,adam,-0.4481778537644772,0.782
dataset_name,RF,LCB,4,229.5845820903778,0.4076375020745977,0.4077908268367351,0.0025563393859791726,elu,0.6077221243289302,zeroshot,prodLDA,239,1,30,35,50,adam,-0.45206057736587124,0.796
dataset_name,RF,LCB,5,785.9722137451172,0.5506638506207387,0.5394367273508491,0.020670030591848555,relu,0.3394964805353097,combined,prodLDA,118,4,50,49,50,sgd,-0.1325919456039471,0.71
dataset_name,RF,LCB,6,185.31985521316528,0.4048686861307265,0.4067681309034998,0.006444699703271214,softplus,0.8303777741403949,zeroshot,LDA,101,3,10,32,50,adam,-0.45705168350811914,0.792
dataset_name,RF,LCB,7,918.3525366783142,0.5637878243403908,0.563020061926986,0.005896029528419684,tanh,0.802841865327007,combined,prodLDA,119,4,300,40,50,sgd,-0.13743303590637437,0.784
dataset_name,RF,LCB,8,559.1069128513336,0.4115456006707226,0.4074028045305848,0.010230872423821442,leakyrelu,0.9169100573510246,combined,prodLDA,141,4,50,45,50,adam,-0.446894652859731,0.804
dataset_name,RF,LCB,9,747.4786274433136,0.5332614834857811,0.5345393025618771,0.0031136310492580785,relu,0.7814911621642409,combined,prodLDA,106,4,50,46,50,sgd,-0.16933755683859072,0.738
