dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,chunksize,decay,gamma_threshold,iterations,num_topics,offset,passes,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,59.76522445678711,0.5559801059965944,0.5636644342277769,0.030175805026151165,asymmetric,41715,0.5345256704368021,0.32012780378872757,488,30,2.203020112523004,84,-0.03943111210107687,0.66
dataset_name,RF,LCB,1,249.90300250053406,0.5639297781026523,0.5657007597983256,0.01650530430204653,symmetric,1363,0.6346049595571991,0.45866122638233686,12,30,8.260694351430722,383,-0.09389723058360792,0.7466666666666667
dataset_name,RF,LCB,2,173.16594982147217,0.5457639586114785,0.5515890149968761,0.013587831316858822,symmetric,22107,0.5184473180271604,0.5952892196922652,470,30,3.999333450319846,264,-0.1946802314476491,0.8466666666666667
dataset_name,RF,LCB,3,141.70198035240173,0.5780890959358265,0.5736032261858405,0.009436043627752955,symmetric,1547,0.6402367106598953,0.4521969528050088,462,30,5.173804171499826,214,-0.0970088136924676,0.8033333333333333
dataset_name,RF,LCB,4,289.44992089271545,0.3754412466742159,0.3798735096206243,0.01507554147058406,asymmetric,7993,0.7238805943477356,0.18644728555992077,650,30,9.408265825527765,433,-0.04099973444899116,0.31666666666666665
dataset_name,RF,LCB,5,326.15710067749023,0.588100295592014,0.5987378572091884,0.027171393830393974,asymmetric,15623,0.8754129909913106,0.05438493093852226,632,30,5.997962864246919,428,0.007208525458872076,0.75
dataset_name,RF,LCB,6,150.3255753517151,0.5525184266554234,0.5465720554038701,0.021656824046462127,symmetric,2644,0.7267344371531312,0.25291020014614635,430,30,9.909233452397517,224,-0.05471976447123817,0.63
dataset_name,RF,LCB,7,270.31335735321045,0.41989770362409135,0.43104454406000786,0.019550149051259666,asymmetric,6895,0.5134258132449033,0.3849754119113179,920,30,8.264102079023544,406,-0.0966556621333429,0.3933333333333333
dataset_name,RF,LCB,8,304.06158542633057,0.3452959467948378,0.36396366593315227,0.0495824963409683,asymmetric,10434,0.5961807870495385,0.12958475654041016,765,30,7.06753438872291,450,-0.1161084749734251,0.2833333333333333
dataset_name,RF,LCB,9,17610.430073022842,0.061713040478294255,0.061713040478294255,0.0,asymmetric,15077,0.8101476441764612,0.9360219327377207,561,30,0.12112377840037605,443,-0.16945636547824863,0.03333333333333333
