dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,46.57310247421265,0.4332880828265103,0.4283675344657147,0.007212428386373839,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,30,adam,-0.4051282791523182,0.7933333333333333
dataset_name,RF,LCB,1,11.534011125564575,0.40346306785830177,0.4037759085807659,0.0015299908834218506,tanh,0.7055276827236003,combined,prodLDA,184,4,200,14,30,adam,-0.4732163245592157,0.8833333333333333
dataset_name,RF,LCB,2,10.014480590820312,0.40131344609211983,0.4007424546868836,0.0065429920946508905,sigmoid,0.851925889694314,zeroshot,prodLDA,281,1,200,32,30,adam,-0.47716990497672535,0.8633333333333333
dataset_name,RF,LCB,3,10.284870624542236,0.4031848061497397,0.40214869643643275,0.0061954582693948676,tanh,0.4748628384945795,zeroshot,LDA,196,4,50,38,30,adam,-0.47398919014023483,0.8633333333333333
dataset_name,RF,LCB,4,23.190659761428833,0.42687620311805,0.4319879744257619,0.01077148999803245,selu,0.6077221243289302,combined,prodLDA,239,1,30,35,30,adam,-0.3993232834352322,0.7433333333333333
dataset_name,RF,LCB,5,18.980071544647217,0.5290511603234086,0.5210364239179542,0.01621378936289444,rrelu,0.3394964805353097,zeroshot,prodLDA,118,4,50,49,30,sgd,-0.20959636431085077,0.7866666666666666
dataset_name,RF,LCB,6,25.941060781478882,0.5253886819355472,0.5251632636177813,0.0025410666924968626,leakyrelu,0.13837713792917153,combined,prodLDA,359,1,300,48,30,sgd,-0.20150261329452757,0.78
dataset_name,RF,LCB,7,24.739100694656372,0.5500725086728862,0.5455560605657211,0.010096045802191802,leakyrelu,0.25801831235164,combined,LDA,286,4,100,37,30,sgd,-0.1688747264100757,0.8133333333333334
dataset_name,RF,LCB,8,20.96212673187256,0.5543677802573489,0.5534153166095215,0.023603031931802382,sigmoid,0.22271210524314475,combined,prodLDA,324,4,100,50,30,sgd,-0.14026177328433959,0.79
dataset_name,RF,LCB,9,21.671480178833008,0.5410585732101735,0.5469392480490055,0.02334516357209161,relu,0.13326549967711962,combined,LDA,286,4,30,43,30,sgd,-0.1973152391849095,0.8266666666666667
