dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,power_iters,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,236.69303464889526,0.321240694188792,0.31863830212057676,0.00865368088735446,23008,0.9163160161574799,23,40,5,-0.1844312412399353,0.265
dataset_name,RF,LCB,1,222.27571749687195,0.33125048933113543,0.3284210381856718,0.007444848390367785,16295,0.647301666470228,174,40,10,-0.1928524467623736,0.275
dataset_name,RF,LCB,2,221.06648325920105,0.31849784390048536,0.3228422498924443,0.010943903104783631,34399,0.7790174018201665,147,40,6,-0.2018811515669245,0.265
dataset_name,RF,LCB,3,178.24956965446472,0.33266731712022557,0.3292291331131309,0.008625219127288919,30062,0.8727254167729189,51,40,2,-0.18204187344300754,0.2825
dataset_name,RF,LCB,4,263.14860129356384,0.32138441188084876,0.3211695982363898,0.0038783358277146066,5053,0.6709280058985376,53,40,7,-0.18350426335560638,0.265
dataset_name,RF,LCB,5,136.10587787628174,0.33682970062752365,0.3279685788000919,0.01540477064498355,33448,0.5905996044139259,77,40,1,-0.18681263628957767,0.2875
dataset_name,RF,LCB,6,276.5695059299469,0.35226074587044515,0.34175473773464393,0.018579849813539762,37889,0.7487364103913802,33,40,1,-0.20846096343229026,0.3125
dataset_name,RF,LCB,7,331.0951278209686,0.33492549166897695,0.3333523127868183,0.016358745604980577,41259,0.6711009494939443,40,40,1,-0.20735621794812165,0.29
dataset_name,RF,LCB,8,293.82334327697754,0.3520483497784391,0.35023985903283367,0.008219765759846447,43907,0.7548551226131408,20,40,1,-0.21861983309216337,0.3225
dataset_name,RF,LCB,9,233.48805046081543,0.3526401277736241,0.35237317760673204,0.0026776699487972783,42688,0.6509082282695381,19,40,1,-0.20985405884966163,0.32
