dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,499.8703188896179,0.385151026898004,0.38458626518918154,0.00365986666971926,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,50,adam,-0.44538528155429347,0.64
dataset_name,RF,LCB,1,368.8599531650543,0.38545700541963407,0.38266800060238565,0.006497100448587739,softplus,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,50,sgd,-0.3848360714589418,0.486
dataset_name,RF,LCB,2,460.2223632335663,0.37925595646628535,0.3807877135154623,0.004111649018724307,relu,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,50,adam,-0.4866625901039185,0.726
dataset_name,RF,LCB,3,137.01062321662903,0.39149947157230996,0.3924995654844492,0.005626318329765066,relu,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,50,sgd,-0.37441342859664706,0.52
dataset_name,RF,LCB,4,354.1794581413269,0.4082602658119664,0.4036043686859558,0.008915335364901942,relu,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,50,sgd,-0.39096469990184596,0.616
dataset_name,RF,LCB,5,260.6586980819702,0.3950834253814497,0.39276036520436186,0.005002561601286543,relu,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,50,sgd,-0.4464352199194559,0.672
dataset_name,RF,LCB,6,235.731383562088,0.3893106274285129,0.3893193395302688,0.0008519751014117397,relu,0.8905601836208983,0.007797775601282859,0.989715126119049,182,5,114,26,50,adam,-0.3691363812954711,0.512
dataset_name,RF,LCB,7,358.6615331172943,0.44341592738956664,0.44387714240623694,0.002120968617449672,relu,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,50,sgd,-0.32921990899578757,0.646
dataset_name,RF,LCB,8,372.97964358329773,0.393346183858414,0.39333211351431857,0.0027147701621568427,relu,0.31331052038512625,0.007981580120238996,0.8318999614793522,131,6,931,45,50,sgd,-0.4157940221392667,0.602
dataset_name,RF,LCB,9,643.9118964672089,0.5618572980289976,0.56503442632035,0.019965254136435094,relu,0.43251014227750184,0.008744156873085437,0.7969680568666104,114,1,950,42,50,adam,-0.1558141380122378,0.84
