dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,14.477676153182983,0.0384132179318006,0.03964023543475018,0.001735264793940471,sigmoid,0.7910004306992118,128,200,50,adagrad,285,500,-0.03166997657365658,0.02
dataset_name,RF,LCB,1,201.5826063156128,0.3797000230455112,0.3802642692060614,0.00124854732882321,relu,0.7055276827236003,357,200,50,adadelta,245,775,-0.504805215949604,0.814
dataset_name,RF,LCB,2,62.70564150810242,0.36799570747882226,0.36904738627752476,0.0014932635587961561,relu,0.3077499918792237,137,100,50,asgd,296,487,-0.5347329826374762,0.88
dataset_name,RF,LCB,3,1.361464262008667,0.0,0.0,0.0,softplus,0.7038436422927611,191,200,50,rmsprop,553,784,-1.0,0.0
dataset_name,RF,LCB,4,135.12103509902954,0.3717458123635177,0.3720074443262194,0.001667500403557456,softplus,0.9003794997111229,274,100,50,asgd,367,471,-0.5246749526233166,0.844
dataset_name,RF,LCB,5,110.3361337184906,0.37181099304371057,0.37261208331864354,0.0024866275951622484,sigmoid,0.6877274763703004,252,200,50,asgd,215,981,-0.5271478395113834,0.87
dataset_name,RF,LCB,6,9.158371686935425,0.063561347255388,0.06121779153698487,0.0033220909658260183,relu,0.23515587104376073,322,300,50,rmsprop,224,549,-0.02562134687413121,0.034
dataset_name,RF,LCB,7,11.759185314178467,0.36819966924879843,0.3701045825810672,0.0028714078280318894,sigmoid,0.42404480777720166,479,200,50,asgd,210,1000,-0.5332605983462084,0.898
dataset_name,RF,LCB,8,155.13026547431946,0.37101387102758787,0.36955610433656677,0.002077620824321025,softplus,0.8098960484864971,235,100,50,asgd,547,948,-0.5281050504726046,0.838
dataset_name,RF,LCB,9,130.62466311454773,0.37007332243872076,0.37022831478459123,0.00024661887245006026,softplus,0.6319402478525936,213,200,50,asgd,495,811,-0.5282563213557462,0.864
