dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,28.10803532600403,0.4043881372897254,0.4026592369016273,0.005734953899285359,23008,0.9163160161574799,23,20,-0.1160215246010547,0.37
dataset_name,RF,LCB,1,28.375459909439087,0.3987696581731225,0.3995026012035059,0.019098292283669077,16295,0.647301666470228,174,20,-0.12114980511499078,0.365
dataset_name,RF,LCB,2,28.28026247024536,0.40033540298017317,0.4019860732938009,0.006006635627566455,9581,0.9777513909955975,164,20,-0.12292847091459261,0.365
dataset_name,RF,LCB,3,28.123375415802002,0.4127384081750279,0.4156712051453777,0.006870017408809114,840,0.6895533024969718,129,20,-0.12341512005984967,0.39
dataset_name,RF,LCB,4,27.985836029052734,0.4251825382606329,0.42076266711845944,0.01837510277481558,27801,0.8556546863507225,83,20,-0.14534562128562925,0.43
dataset_name,RF,LCB,5,27.95445942878723,0.4204543726165481,0.4106611624095072,0.017303187044123775,7655,0.9594720691623109,31,20,-0.10537013596487435,0.395
dataset_name,RF,LCB,6,28.027913093566895,0.409933591745273,0.4046723958562763,0.00958780958890757,32012,0.7177983384139199,73,20,-0.12866269089372825,0.385
dataset_name,RF,LCB,7,27.984313249588013,0.41320212490335356,0.42059390690811255,0.01156282254598201,38534,0.880467009107408,24,20,-0.13222694847331867,0.405
dataset_name,RF,LCB,8,28.06865382194519,0.4225162544006648,0.42207815794173414,0.013739010192912732,31512,0.8152533993540326,19,20,-0.12835849907235877,0.41
dataset_name,RF,LCB,9,28.082327365875244,0.40981272541536473,0.4060648995183707,0.0093217532681676,26697,0.8017702949857402,47,20,-0.13650752532579916,0.39
