dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,num_epochs,num_neurons,num_topics,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,16.763678073883057,0.03851389063072645,0.03851389063072645,0.0,sigmoid,0.7910004306992118,128,200,50,adagrad,285,500,0.03663677592055335,0.02
dataset_name,RF,LCB,1,8.399866342544556,0.04949246699063636,0.05069371652475994,0.001701624066878127,relu,0.7055276827236003,357,200,50,rmsprop,245,775,0.025444671480396943,0.026
dataset_name,RF,LCB,2,66.3520860671997,0.372534881259791,0.3719899527124872,0.0024674696624192426,relu,0.3077499918792237,137,100,50,asgd,296,487,-0.5294180274217275,0.878
dataset_name,RF,LCB,3,11.067543745040894,0.03851389063072645,0.03851389063072645,0.0,softplus,0.7038436422927611,191,200,50,adam,553,784,0.03663677592055335,0.02
dataset_name,RF,LCB,4,144.10859274864197,0.37466680366668864,0.37436443470498776,0.0008725423593623807,softplus,0.9003794997111229,274,100,50,asgd,367,471,-0.5164962403904703,0.826
dataset_name,RF,LCB,5,123.54366970062256,0.37683649396231655,0.376294668927379,0.002254008907791775,sigmoid,0.6877274763703004,252,200,50,asgd,215,981,-0.5096645568623436,0.814
dataset_name,RF,LCB,6,204.55566382408142,0.38824143912902515,0.3883731302392623,0.0007997720174711455,softplus,0.15088457607405992,351,100,50,asgd,293,786,-0.46367423383761375,0.698
dataset_name,RF,LCB,7,122.49157071113586,0.37667174517935764,0.3773647088170369,0.0023830245671042027,softplus,0.28621675377238986,240,100,50,asgd,388,440,-0.518951991682359,0.868
dataset_name,RF,LCB,8,304.8122515678406,0.3848678265633927,0.38423550160918274,0.0015895570675551118,softplus,0.6643442524332389,484,300,50,asgd,368,801,-0.3003615321985665,0.43
dataset_name,RF,LCB,9,299.88427114486694,0.38734450680282173,0.3883014908178934,0.0019845819235660054,softplus,0.5317149045143249,465,200,50,sgd,528,981,-0.3769930846363623,0.512
