dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,inference_type,model_type,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,41.09297728538513,0.42384543266863595,0.42212440364232123,0.0027932322754273607,rrelu,0.7910004306992118,combined,LDA,294,2,30,17,20,adam,-0.43538404047447354,0.85
dataset_name,RF,LCB,1,11.225934743881226,0.41052326880790657,0.40523625669628455,0.008121857309964344,tanh,0.7055276827236003,combined,prodLDA,184,4,200,14,20,adam,-0.4707503367895619,0.91
dataset_name,RF,LCB,2,9.145771503448486,0.399982249110715,0.4084030897431446,0.012554124192633177,sigmoid,0.851925889694314,zeroshot,prodLDA,281,1,200,32,20,adam,-0.4838970005131185,0.905
dataset_name,RF,LCB,3,9.31244683265686,0.40795816857098705,0.40631971659018445,0.006599627570827565,tanh,0.4748628384945795,zeroshot,LDA,196,4,50,38,20,adam,-0.47582325201941844,0.945
dataset_name,RF,LCB,4,20.630067586898804,0.44302530220956143,0.44082009855491483,0.0066411155126846295,selu,0.6077221243289302,combined,prodLDA,239,1,30,35,20,adam,-0.363979317645477,0.745
dataset_name,RF,LCB,5,16.641628742218018,0.5352742953059778,0.535867277434999,0.011770521156701068,rrelu,0.3394964805353097,zeroshot,prodLDA,118,4,50,49,20,sgd,-0.23078060979059378,0.88
dataset_name,RF,LCB,6,24.337408542633057,0.523964705635963,0.5284289910440158,0.010204305161334895,leakyrelu,0.13837713792917153,combined,prodLDA,359,1,300,48,20,sgd,-0.2405887224813939,0.845
dataset_name,RF,LCB,7,43.13477563858032,0.47571126014890547,0.47853923518774044,0.004110201230175422,elu,0.2176093801649332,combined,LDA,345,1,100,41,20,adam,-0.21704697507890533,0.625
dataset_name,RF,LCB,8,18.136268854141235,0.43246734287367855,0.4364805837047097,0.01136338999589049,softplus,0.4001229306436138,combined,prodLDA,334,1,30,44,20,adam,-0.40734184660753325,0.8
dataset_name,RF,LCB,9,29.046152114868164,0.5194245122198531,0.5222016709527281,0.007367389743550956,elu,0.1282083582617878,combined,prodLDA,393,1,200,43,20,sgd,-0.23318149541744435,0.835
