dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),alpha,chunksize,decay,gamma_threshold,iterations,num_topics,offset,passes,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,63.91283941268921,0.5371171396686373,0.5404932476201675,0.024263325404306275,asymmetric,41715,0.5345256704368021,0.32012780378872757,488,40,2.203020112523004,84,-0.014131089943334596,0.59
dataset_name,RF,LCB,1,268.96338272094727,0.560201252118085,0.5582531521752785,0.004228650663668587,symmetric,1363,0.6346049595571991,0.45866122638233686,12,40,8.260694351430722,383,-0.04751310644146121,0.6675
dataset_name,RF,LCB,2,187.250629901886,0.5711192382976433,0.5721463393548948,0.008344611591592898,symmetric,22107,0.5184473180271604,0.5952892196922652,470,40,3.999333450319846,264,-0.10612007587131807,0.8225
dataset_name,RF,LCB,3,152.3164131641388,0.5750691237311772,0.5716942061633011,0.007201483956736366,symmetric,1547,0.6402367106598953,0.4521969528050088,462,40,5.173804171499826,214,-0.08114873472845037,0.7475
dataset_name,RF,LCB,4,305.93257331848145,0.37752703306118973,0.3836185202932722,0.02667469490825654,asymmetric,7993,0.7238805943477356,0.18644728555992077,650,40,9.408265825527765,433,-0.14897500191377763,0.3425
dataset_name,RF,LCB,5,333.0269935131073,0.5370394777236749,0.5424812200807825,0.009710056293670442,asymmetric,15623,0.8754129909913106,0.05438493093852226,632,40,5.997962864246919,428,-0.1187779588182684,0.7025
dataset_name,RF,LCB,6,159.1868052482605,0.516076179163572,0.5146740999875502,0.007845644089067867,symmetric,2644,0.7267344371531312,0.25291020014614635,430,40,9.909233452397517,224,-0.0766368950299865,0.565
dataset_name,RF,LCB,7,239.7776861190796,0.35995398656708133,0.37462972270329314,0.024925611023448018,asymmetric,49204,0.6605936434705588,0.632365635763384,963,40,9.1925435354017,338,-0.07752563920434838,0.3
dataset_name,RF,LCB,8,286.8655445575714,0.5457601465759312,0.5482894034544687,0.012020575390858407,symmetric,42702,0.6500529678300264,0.5465038465741954,997,40,2.8704632937336543,409,-0.1286896181281087,0.7275
dataset_name,RF,LCB,9,208.9614281654358,0.533524351150622,0.534467074802697,0.008217479087163112,symmetric,49062,0.6434276257118894,0.49878025637237444,121,40,9.39419456204989,297,-0.047979429490972,0.6225
