dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),chunksize,decay,extra_samples,num_topics,power_iters,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,29.051290273666382,0.38782233897070334,0.3879914111483023,0.013657390777728986,23008,0.9163160161574799,23,20,5,-0.07531885767033664,0.34
dataset_name,RF,LCB,1,30.06161880493164,0.39168330868432133,0.3826912704050307,0.01652555856367745,16295,0.647301666470228,174,20,10,-0.079714692431649,0.34
dataset_name,RF,LCB,2,29.625746965408325,0.41035800709653714,0.4102658743075431,0.009477758233852036,34399,0.7790174018201665,147,20,6,-0.10699516668782334,0.38
dataset_name,RF,LCB,3,28.954259872436523,0.39419911400390195,0.3962163391353939,0.009239200857701444,30062,0.8727254167729189,51,20,2,-0.08047135238709083,0.345
dataset_name,RF,LCB,4,29.111175775527954,0.3969524757760909,0.39517492972697826,0.009895382243008614,5053,0.6709280058985376,53,20,7,-0.0915984482354876,0.35
dataset_name,RF,LCB,5,29.182234048843384,0.40272846853323635,0.4005621698631246,0.018191461634120144,33448,0.5905996044139259,77,20,1,-0.08207733947692838,0.355
dataset_name,RF,LCB,6,28.99511694908142,0.4080558155666341,0.4094118102473025,0.010756623147664785,37889,0.7487364103913802,33,20,1,-0.09962082945321753,0.38
dataset_name,RF,LCB,7,29.314175128936768,0.3912127729157433,0.3915475327071702,0.004794563076915027,42519,0.6018168331913291,89,20,1,-0.0965583905775802,0.345
dataset_name,RF,LCB,8,29.292725086212158,0.40065202664417443,0.39093615009864396,0.02418185666505174,44197,0.9107868904483121,137,20,1,-0.09669237555365442,0.36
dataset_name,RF,LCB,9,29.18263006210327,0.40706165627735935,0.4005342398966925,0.014653470593431379,34436,0.79253081017842,136,20,1,-0.10296611906617788,0.37
