dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,lr,momentum,num_epochs,num_layers,num_neurons,num_samples,num_topics,solver,Coherence(not optimized),Topic diversity(not optimized)
dataset_name,RF,LCB,0,13.004640102386475,0.3923760979414646,0.38994018796298824,0.005294740167305609,relu,0.7910004306992118,0.0007836082746486817,0.656529153009486,268,4,220,13,40,adam,-0.4585289586538237,0.705
dataset_name,RF,LCB,1,15.195467472076416,0.4356066847377099,0.43557936058519475,0.0021382289843793864,relu,0.7055276827236003,0.0074746214227875245,0.5502023846287526,134,5,392,34,40,adam,-0.3696534901670201,0.7125
dataset_name,RF,LCB,2,12.645156621932983,0.4146448289857217,0.4152102745818242,0.004969235479984724,softplus,0.028943043979222333,0.005098679239667187,0.8596754237527693,267,3,227,6,40,sgd,-0.4298121033079642,0.76
dataset_name,RF,LCB,3,28.50897979736328,0.4296771366337543,0.43069582433217807,0.0015895935656839524,softplus,0.7597050145989949,0.004190336015327252,0.511510966607565,348,4,547,49,40,adam,-0.349629287718993,0.6475
dataset_name,RF,LCB,4,22.99816083908081,0.4242186400604483,0.4182335797956039,0.011391798329562067,softplus,0.3530675708499147,0.00947994740886307,0.8066313378774554,113,3,356,31,40,adam,-0.40692735166064614,0.7475
dataset_name,RF,LCB,5,39.85538363456726,0.4020568182772941,0.40445682599678673,0.005512015141289117,softplus,0.0677090881302927,0.006706904747363482,0.7222663559159085,206,4,842,28,40,adam,-0.4630038226699666,0.8
dataset_name,RF,LCB,6,25.917741537094116,0.42095988250220145,0.4177313609874653,0.009602237403085705,relu,0.14756507966321086,0.004482487822898561,0.8418022200886237,257,3,792,37,40,sgd,-0.4117119684046783,0.7325
dataset_name,RF,LCB,7,19.499984741210938,0.532930118083842,0.5321567519935085,0.01143986559540383,softplus,0.2663804962833017,0.009617845973835994,0.8978130896880734,74,1,580,42,40,adam,-0.23932441642190544,0.89
dataset_name,RF,LCB,8,19.82855749130249,0.40886454716549925,0.4081494863753556,0.0015084479589109,relu,0.776883671072155,0.009263213904247641,0.7009239359510768,99,7,468,43,40,sgd,-0.37418900450261816,0.59
dataset_name,RF,LCB,9,30.272570371627808,0.402072532576037,0.40423130049354167,0.005866382965766039,softplus,0.07213548336361941,0.008452057780639309,0.8273524057234578,82,3,698,50,40,adam,-0.4632194817009749,0.805
