dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),activation,dropout,n_topics,num_neurons,optimizer,rho,t_hidden_size,Coherence(not optimized),Topic diversity(not optimized)
20NewsGroup,RF,LCB,0,55.79454803466797,0.2060613090287066,0.2060613090287066,0.0,sigmoid,0.7910004306992118,10,200,adam,319,527,-0.006725239661874789,0.13
20NewsGroup,RF,LCB,1,47.88806176185608,0.18009198336236867,0.18009198336236867,0.0,sigmoid,0.7055276827236003,30,200,adam,555,546,-0.0072110899552661435,0.11
20NewsGroup,RF,LCB,2,149.56393146514893,0.5861445955588254,0.5861445955588254,0.0,relu,0.10758064728209163,20,300,rmsprop,270,905,0.041889138714950334,0.67
20NewsGroup,RF,LCB,3,224.8745095729828,0.18045390550928594,0.18045390550928594,0.0,softplus,0.7059910105556867,40,300,adadelta,538,490,0.0038882403764286047,0.11
20NewsGroup,RF,LCB,4,98.72488689422607,0.19301377906717135,0.19301377906717135,0.0,softplus,0.1491902882463336,10,300,sgd,344,578,-0.014108688537756663,0.12
