dataset,surrogate model,acquisition function,num_iteration,time,Median(model_runs),Mean(model_runs),Standard_Deviation(model_runs),iterations,num_topics,passes,Coherence(not optimized)
dataset_name,RF,LCB,22,26.909817457199097,0.5,0.5033333333333333,0.036817870057290876,650,10,80,-0.10062700529548843
dataset_name,RF,LCB,23,28.194160223007202,0.5,0.5033333333333333,0.012472191289246483,750,10,80,-0.05148096067382416
dataset_name,RF,LCB,24,27.424359798431396,0.55,0.55,0.04898979485566356,470,10,80,-0.07271812062249002
dataset_name,RF,LCB,25,26.638049364089966,0.51,0.5033333333333333,0.04109609335312652,330,10,80,-0.092058206540084
dataset_name,RF,LCB,26,28.447009801864624,0.48,0.48333333333333334,0.012472191289246483,170,10,80,-0.06395441341413363
dataset_name,RF,LCB,27,26.628496646881104,0.49,0.5066666666666667,0.03858612300930078,960,10,80,-0.026337135094139152
dataset_name,RF,LCB,28,29.151671409606934,0.55,0.5466666666666667,0.012472191289246483,290,10,80,-0.07303897039597063
dataset_name,RF,LCB,29,29.09952735900879,0.52,0.5266666666666667,0.0329983164553722,470,10,80,-0.07099428180420253
dataset_name,RF,LCB,30,27.66275191307068,0.55,0.5333333333333333,0.05436502143433362,470,10,80,-0.06552742282903976
dataset_name,RF,LCB,31,27.164804458618164,0.51,0.5133333333333333,0.020548046676563275,610,10,80,-0.08105534596781772
dataset_name,RF,LCB,32,28.810277938842773,0.59,0.5833333333333334,0.024944382578492914,90,10,80,-0.10532388564696646
dataset_name,RF,LCB,33,26.86917805671692,0.48,0.48333333333333334,0.04496912521077349,290,10,80,-0.06479718460623721
dataset_name,RF,LCB,34,28.004822731018066,0.53,0.53,0.032659863237109024,100,10,80,-0.09005946606183915
dataset_name,RF,LCB,35,27.047587871551514,0.53,0.53,0.024494897427831803,560,10,80,-0.06925440851970785
dataset_name,RF,LCB,36,26.570494890213013,0.48,0.5066666666666667,0.05249338582674538,520,10,80,-0.06216077941581545
dataset_name,RF,LCB,37,27.828863382339478,0.51,0.5066666666666667,0.02054804667656327,970,10,80,-0.061404903024038025
dataset_name,RF,LCB,38,25.934560775756836,0.49,0.5,0.021602468994692887,550,10,80,-0.0818000418753955
dataset_name,RF,LCB,39,28.634482383728027,0.5,0.5033333333333333,0.012472191289246483,320,10,80,-0.07015293839618719
dataset_name,RF,LCB,40,28.0304217338562,0.48,0.48666666666666664,0.009428090415820642,160,10,80,-0.04432292971836346
dataset_name,RF,LCB,41,27.102757215499878,0.53,0.5166666666666667,0.04189935029992179,900,10,80,-0.07816354015135385
dataset_name,RF,LCB,42,32.33194375038147,0.51,0.49666666666666665,0.04189935029992179,80,10,80,-0.08025330960241436
dataset_name,RF,LCB,43,27.415095806121826,0.46,0.48666666666666664,0.06018490028422594,860,10,80,-0.06152349023245374
dataset_name,RF,LCB,44,30.51387357711792,0.5,0.5133333333333333,0.026246692913372727,210,10,80,-0.07332383903613597
dataset_name,RF,LCB,45,27.892460346221924,0.57,0.5766666666666667,0.024944382578492925,590,10,80,-0.10010491081481403
dataset_name,RF,LCB,46,27.461709022521973,0.54,0.5166666666666667,0.04027681991198192,890,10,80,-0.07252950829142546
dataset_name,RF,LCB,47,28.43810534477234,0.62,0.5966666666666667,0.047842333648024406,210,10,80,-0.10222796909653362
dataset_name,RF,LCB,48,27.65999937057495,0.5,0.52,0.03559026084010435,170,10,80,-0.07824970749863891
dataset_name,RF,LCB,49,29.40627956390381,0.56,0.5499999999999999,0.021602468994692852,820,10,80,-0.08809438923011456
