fere princípio isonomia pois privilegia alguns hoje exercem delegação terem passado processo aplicado rigidamente outros pessoas não enquadraram critérios estabelecidos art 47 lei permanecerem função	train
cartórios assumidos titulares concursados melhoraram atendimento população todos aspectos nepotismo não pode vigorar neste qualquer tipo serviço público acertou prever concurso deve mantido	train
cf estabeleceu necessidade concurso público assumir tal função destarte nomeação tal requisito frontalmente contrária isonomia princípios administração pública	train
totalmente inconstitucional prestigiando apadrinhados políticos afrontando totalmente situação renovação país passa tanto almeja precisamos pessoas mérito não padrinhos	train
trabalham muita eficiência dedicação fazem anos experiência responsabilidade deveres	train
justiça comprometimento verdade levantou serventias desacreditadas sociedade parabéns envolvidos	train
stf firmou entendimento eh inconstitucional bular concurso público após	train
injusto dedica anos preparação	train
tudo palhaçada	train
privilégios	train
pessoa responsável cargo exerce tabelião formado direito todas características cartório exigir justo assumir funçao definitivamente	train
além inconstitucional retrocesso crescente melhoria prestação serviço cartorios	train
pessoas experientes capacitadas comprometidas não coerente injustiça profissionais	train
nada justo vem anos atividade interino dando sangue sociedade	train
justiça delegatários substitutos dedicam anos atividade notarial registral	train
questão justiça presta ótimo trabalho décadas visando realizados concursos titulares vem prestando péssimo trabalho	train
parlamentares não conhecem constituição	train
respeito dignidade não pensam somente quanto cartório rende concurseiro não respeita ninguem	train
pec manifestamente contrária texto art 236 constituição república além disso imoral privilegiar pessoas assumiram delegação prestar concurso público	train
pec repleta inconstitucionalidade flagrante desrespeito constituição detrimento interesses pessoais minoria	train
viola isonomia cidadãos permite oportunidades iguais todos regra concurso público sendo inconstitucional conforme inúmeras decisões stf	train
interinos 10 anos cartórios	train
questão justiça pois interinos possuem prática diária funcionamento serventia priorizando bom atendimento público maioria vezes concursados serventia ficam	train
quer cartório estude conquiste	train
questão justiça efetivação tabelião doaram prestação serviço público	train
afronta continuação pois fere princípio isonomia concurso público desrespeita pessoas anos estudando profissionais preparados confiáveis população levando insegurança jurídica	train
burla concurso público	train
inconstitucional privilégio odioso	train
concurso público obrigatório ingresso carreira pública nenhuma função podem efetivados não prestou devido processo seletivo	train
preciso faça justiça todos assumiram atividade anos nunca poder judiciário feito concurso não deve prejudicar familias doaram serviço fim despejadas passividade próprio poder judiciário	train
determinou ingresso cartórios concurso público provas títulos concurso aberto todos interinos podem pq não fazem aprovados simplesmente pq não possuem competência passar querem famoso jeitinho brasileiro	train
justica anos dedicacao oficiais alem experiencia trabalho	train
nenhum	train
ponto positivo dar direitos trabalhando décadas	train
segurança juridica garantindo direitos reservados antes constituição 88 trabalha dedicou vida toda cartorios atualmente sendo despejados	train
pec favorece pequenos cartórios deficitários pois muitos assumem desistem vem renda	train
infelizmente tratando desiguais forma igualitária devido inoperância estado inércia deixou pessoas assumirem cargos trinta anos agora interino sair direito algum	train
fere constituição	train
delegação serviço público não empresa pra passar pai pra filho absurdo pec deputados legislar pro sociedade não alguns favorecidos	train
fere diretamente princípios administração pública beneficiando pessoas não fizeram concursos públicos manterem serventias vai contramão toda doutrina jurisprudência	train
pura fraude concursos públicos tentativa legalizar irregularidades antigas contrariando jurisprudência consolidada stf	train
não regime monárquico	train
afronta constituição cidadã querem titular cartório submeta concurso público restante apenas vitimismo pessoas despreparadas atividade notarial	train
justiça delegatários substitutos dedicam anos atividade notarial registral	train
absurdo retrocesso total apadrinhamentos corrupção começa porque apadrinhado ficará devendo favores padrinho desse jeito não constrói país melhor	train
inconstitucional imoral	train
todos pontos positivos apontados falsos sobra concursos públicos candidato não chegou conseguir escolher serventia falta defende pec caráter vergonha cara	train
pessoas dedicaram vida inteira trabalhos cartorios devem tratadas respeito consideração pois trabalham carinho amor servindo comunidade respeito colegas registradores interinos	train
anos vem sendo prestados excelente trabalho nescecidade concurso	train
reconhecer direitos adquiridos através atos concedidos lei serventuários	train
profissionais competentes especializados experiência trabalho exercem ótimo trabalho sempre atualizado fiscalizado não havendo necessidade migração mesmos troca desses profissionais	train
afronta constituição federal direito daqueles frente serventias observado cf 88 assumiu após data observar regra constitucional sob pena cf modificada sabor interesses privados	train
favorável pec concurseiros querem grandes cartórios assumem cartório assumem deixa lado logo seguida vê não retorno	train
verdadeiro absurdo afronta constituição federal vergonha	train
proposta tenta resolver problema causando problema maior ainda proposta não fala nada cidades pequenas argumentos utilizados aprovação	train
inconstitucional concurso público ponto final	train
questão injustiça existem milhares aprovados concurso aguardando nomeação cartórios grandes pequenos perderão tapetão pec golpe baixo moralidade	train
afronta sistema meritocrático beneficiando não mostraram capazes entrar porta frente excelentes cartórios serem amigos rei	train
pessoas dedicam anos prestando excelente serviço não podem simplesmente serem descartados	train
desumano saber alguém andar 100 km estrada chão pra poder fazer simples certidão nascimento favor pec 471 protege desprovidos recursos	train
inconstitucional fere isonomia igualdade concurso público	train
inconstitucional passar concurso público	train
deve feito através concurso público deveria ter vergonha cara autor dessa pec vergonha colocar pauta pec 17	train
tudo	train
estudei vida toda qualificando trabalhar nesta entrei fiz prova oficial regras mudadas ter direito adquirido competência qualificação continuar trabalhando serventia	train
pec elaborada flagrante inconstitucionalidade	train
todos totalmente inconstitucional	train
corporativismo explicito	train
favor concurso cartório não apadrinhamento	train
principio legalidade isonomia precisa respeitar concurso público ponto não discutir	train
efetivar pessoas não preparadas exercício função absurdo concurso público maneira ideal selecionar melhores candidatos	train
inconstitucional	train
atentado contra constituição pec quer prejudicar realmente capacitado estuda anos	train
muita palhaçada pessoal não prestou concurso querer ganhar cartórios vão estudar passar concurso	train
concurseiro fazendo faz melhor barulho internet nada justo interinos substitutos dedicaram vidas prol cartório concurseiros olho lucro cartórios pequenos não duram 6 meses	train
tal pec mostra completamente inconstitucional constituição federal determina regra concurso público	train
nada justo pessoas vem contribuindo anos trabalho	train
pequenos distritos interior brasil	train
desrespeita moralidade administrativa conceder delegação cartórios concurso público	train
obrigatoriedade concurso público outorga delegação serviços notariais registrais previsão constitucional devendo assim sumariamente respeitada interino interesse garantido participação concurso público	train
d receber excedentes repassados respondentes serventias vagas q vários anos p capacitar aplicar concurso público não fizeram contando justamente brasil feudal amigos rei	train
prefiro continue porque pessoas desenvolvem excelente trabalho honesto justo não vejo necessidade nenhuma venha trocar pessoas	train
flagrantemente inconstitucional	train
filhos cartorarios vida inteira preparados função conhecem completamente todos atos torna serviço efetivo célere	train
vergonha projeto contra moralidade meritocracia	train
insonstitucional vai contra poder constituinte originário eatatuiu precisa concurso titular serventia quer titular preste passe concurso	train
nenhum fere princípio moralidade	train
caro deputado aguentaria pressão tribunal receita aguentaria trabalham bicho não ter direitos qualquer outro funcionário caro deputado negar água serventia vacância legal	train
cumprir constituição mérito capacidade forma democrática republicana acesso atividades pública	train
cartórios bem preparados prosseguir trabalho acho justo dar continuidade porque têm conhecimento muita habilidades fazer obrigações injusto	train
retrocesso porque retira possibilidade pessoas não politicamente indicadas ingressarem atividade verdadeiro atentado democracia princípio igualdade	train
bom trabalho vem sendo prestado	train
pec farra querem delegação vão estudar	train
concordo plenamente justo pec não visa acabar concurso cartórios sim efetivar interinos frente serventia luta árdua dia após dia serventia não ocupadas concursados não possuir renda ocorrido todos estados	train
totalmente inconstitucional pec absurdo país caminhando retrocesso	train
concursados antes constituição capazes experientes prestam serviços sociedade contento	train
justiça muita gente interior depende disso desastre pra famílias	train
justo regularizar situação interinos anos cargo	train
emenda inconstiticional viola artigo 236 constituição federal mínimo espera dessa casa protegem constituição sociedade normas	train
garantir direitos dedicou vida ofício direitos retirados constituição federal 88	train
vergonha	train
piada mau gosto pleno século 21	train
justiça	train
inconstitucional inconcebível estado democrático direito	train
qualidade serviço	train
inconstitucional	train
justiça dar acesso estudou mérito passou concurso	train
regularização interinos pois anos dedicam exercício atividade cartorária	train
inconstitucional	train
privilégio pois ignora necessidade capacitação técnica aprovação concurso público	train
garantir direito sobrevivência reconhecimento servidores dedicam anos tal serviço	train
nada justo indivíduo prestando serviço sério justo qualidade permaneça cargo aprovação dessa ec sinônimo justiça inúmeros cidadãos pais mães família presta serviço excelência	train
retrocesso constituição voltando época capitania forma correta concurso	train
inconstitucional quer cartório venha jogo dispute vaga leal não covarde	train
concurso público livre acesso funções públicas fim apadrinhamento político voto contra pec 471	train
premia nunca prestou concurso premia vadio	train
viola acesso função via concurso princípios democráticos essenciais igualdade impessoalidade moralidade eficiência	train
inconstitucionalidade todos devem entrar ppr concurso publico não porta fundos	train
fere princípio concurso público permite dar oportunidades iguais todos efetiva pessoas indicadas função pública detrimento daqueles esforçam meio estudos dedicação alcançar delegação concurso	train
nada justo respondente trabalharam vida servindo população justiça muitos casos cartórios deficitários trabalham minimo possível	train
inconstitucional necessário concurso público	train
inconstitucional	train
inconstitucional	train
existem muitos projetos automatização andamento ajudam pessoas facilitam regularizaçoes necessárias rapidamente não pode descontinuado	train
verdadeiro absurdo inconstitucional	train
forma meritocrática fortalece democracia concurso contratação fortalece elite social	train
nenhum ponto positivo	train
não pode efetivar interinos dessa forma inconstitucional pec ultrapassada taj promovam concursos públicos serventias vagas	train
maioria pessoas passaram vida toda dentro cartório prestando serviço qualidade total dedicação amparo lei	train
interessa manter função pública concurso	train
justiça interinos prestam trabalho excelência dedicaram anos vida serventias garantir pequenos interiores continuem prestando serviço tão indispensável população	train
não retrocesso necessário regulamentar casos ingressaram durante lacuna normativa 1988 após cf 1994 lei cartórios absurdo considerar pessoas ingressaram época cargos hoje obrigadas saírem	train
perpetua jeitinho brasileiro indicação muita vezes critério técnico mínino traz retrocesso destrõem parte sociadade busca alcançar lugar sol baseado meritocracia	train
quebra isonomia cidadãos regra concurso público sendo inconstitucional conforme inúmeras decisões stf	train
presidentes tj estados nomearam assinaram pra cartorarios remover ficar cargos sera nao vale cnj quer tj stf	train
segurança jurídica	train
presenteia grandes cartórios mãos interinos concurso não deixe enganar	train
titular somente através concurso público cartório não herança	train
tanto tempo luta frente povo merecimento efetivar	train
achar injusto interinos após anos trabalho dedicado serventias fiquem desempregados nenhum tipo garantia adianta abrir concurso público título oportunidades iguais todos ignorar todos faziam mesma função	train
velho conhecido sistema capitanias hereditárias secular promove perpetua incompetência	train
efetivada cartorários não concursados	train
substituto temporário gente habilitada investiu gastou horas valores passar concurso porque temporário direito pular fase	train
garante direitos cartorário década trabalhando	train
cidadaos efetivados acordo tribunais justica dedicando decadas vida agora contam 60 anos sao bacharéis direito pos graduação justiça têm capacidades	train
fere diretamente princípios constituição federal vai gerar cabides empregos políticos prejudicar crescente evolução melhorias serviços prestados cartórios	train
manutenção lei ordem	train
analisando entrada pessoas incapacitadas concurso publico	train
pec inconstitucional posicionamento sobre tipo matéria pacificado stf inconstitucional	train
pec não impede concurso público apenas protege pessoas assumindo cargo anos presente momento injusto simplesmente terem dedicado tanto trabalho sério muitas vezes envolve tantas renúncias concursos serventias vagas partir agora novas oportunidades virão desfazer alguém serviu serviços momento injusto atuantes entendam	train
burla concurso público pec visa preservar herdou cartório apadrinhado total afronta cf demais legislações princípios inclusive pec extremamente rechaçada ministério público oab	train
inaceitável efetivação delegatórios dias atuais não monarquia ausência concurso público fere constituição	train
previlegia muitas vezes não preparo jurídico exercicio função vez notário registrador regra deve bacharel direito	train
vai fazer justiça oficiais efetivação garantida estado pessoas 30 anos serviços prestados correndo risco ver todo trabalho perdido	train
bonito discurso pontos positivos sabemos intenção real	train
burla lei seleção meio concurso publico	train
absuuurda peça vergonha deputados não podem deixar passar imoral	train
não	train
exemplo interpretes peritos fundações civis organizações c funções públicas justiça educação saúde não concurso público pq p interinos após tanto empenho investimento intelectual patrimonial não justo	train
acho justo efetivação interinos pois muitos anos cartório merecem continuar ficar aposentarem	train
vergonha concurso público correto	train
total desconformidade constituição 1988 buscando evoluir acabar sistema capitanias hereditárias imoral ineficiente ainda existe brasil fixou necessidade realização concursos públicos cartório não herança	train
ótimo trabalho vem sendo realizado anos	train
não podemos aceitar leis beneficiar autores projeto	train
impede livre acesso todos igualdade condições	train
desorganiza sistema atual vem funcionando direito entrega mérito delegações detrimento realmente preparam concurso sempre maior prova preparação responsabilidade anos	train
importante atividade continue atendendo populações interior deste imenso brasil	train
não pontos negativos	train
total falta respeito princípio imparcialidade	train
não vejo justificativas positivas pec	train
fere determinou realização concursos quebra princípio basilar republicano	train
viola frontalmente constituição federal 1988 pois permite pessoas ingressem serviço público concurso público verdadeira gambiarra constituicional	train
proposta emenda constituição acaba prática todos concursos públicos andamento venham autorizados próximos anos privilegiando pessoas indicadas substituir titularidade durante vacância	train
inadmissível trem alegria efetivar pessoas não prestaram concurso público absurdo inconstitucional favor srs deputados coloquem mão consciência	train
inconstitucional	train
fere cf	train
pessoa dedica estuda anos anos concurso público passa prova inclusive passa segunda fase peça prática pessoa família largou tudo estudar agora querem efetivar pessoas não concursadas injustiça	train
burla princípio concurso público	train
agraciar compadres políticos prestaram concurso público inconstitucional imoral	train
inconstitucional	train
cartórios precisam modernizar titulares concursados revolucionando qualidade serviços prestados	train
fere toda noção justiça função pública não delega concurso vivermos república coisa pública não trata coisa pública bel prazer titular estado dando presentes quiser regra concurso público justa	train
manobra perpetuar chefões comando cartórios vergonha praticada casa	train
reconhecimento trabalho pessoas dedicaram vida prestação serviço público reconhecimento algum	train
pessoas dedicam anos vida além concursados não quererem assumir baixa rentabilidade assim causando tumultos serventias vagas não queremos	train
cf 1988 vedou forma nepotismo cartórios 30 anos continuam tentando violar estudado concursados	train
fere morte cf estado democrático direito	train
inconstitucional fortemente tendenciosa	train
fere princípio constitucional vergonha pessoas representam congresso favoráveis pec	train
pessoas capacitadas anos experiencia dedicadas atendimento população forma responsavel honesta	train
decadência sistema violação constituição intuito apenas beneficiar minoria tenta qualquer maneira burlar exigência concurso público	train
manobra tentar burlar cf vergonha concurso aí todos bom alega interino ter experiência etc vá lá passe pronto não necessário manobra escusa burlando lei maior	train
pec totalmente inconstitucional retrocesso	train
concurso publico maneira democratica acesso qualquer cargo publico alem disso garante acesso daqueles melhor prepararam possuam conhecimento juridico necessario melhor desempenho funçoes tao relevantes	train
questão justiça pessoas anos décadas deram melhor exercício atividades construíram toda história não podem descartadas lixo	train
fase transição lei vida inteira dedicação serviços significa muita prática conhecimento experiência plena dedicação	train
